workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
1,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3DYGAII7PL9QECALWB3VN0VIJAGPQ8""",1,"""Submitted""","""Wed May 23 05:15:47 CEST 2018""","""Tue May 22 12:18:09 CEST 2018""","""Tue May 22 12:35:47 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""17.068716666666667"""
2,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3AMW0RGHOD35BFXTGJBEJ60DEZTPNL""",2,"""Submitted""","""Wed May 23 05:19:10 CEST 2018""","""Tue May 22 12:18:08 CEST 2018""","""Tue May 22 12:39:10 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""17.778933333333335"""
3,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ZGVPD4G6TIXKW4J0OVSJ38JDGMTZB""",3,"""Submitted""","""Wed May 23 05:19:38 CEST 2018""","""Tue May 22 12:18:08 CEST 2018""","""Tue May 22 12:39:38 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""16.26535"""
4,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3COPXFW7XBD439CQJ6JYREJ9K4OPKG""",4,"""Submitted""","""Wed May 23 05:22:58 CEST 2018""","""Tue May 22 12:18:08 CEST 2018""","""Tue May 22 12:42:58 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""24.338616666666667"""
5,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3EKVH9QMEY50XW5APRMZROGQPL02DU""",5,"""Submitted""","""Wed May 23 05:29:37 CEST 2018""","""Tue May 22 12:18:08 CEST 2018""","""Tue May 22 12:49:37 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""22.83775"""
6,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3RXCAC0YIRQEVVHQ7YW870WQOD98GE""",6,"""Submitted""","""Wed May 23 05:30:37 CEST 2018""","""Tue May 22 12:22:15 CEST 2018""","""Tue May 22 12:50:37 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""15.496333333333334"""
7,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3B3WTRP3DB3OU6STDBHX5SX0Y0L29D""",7,"""Submitted""","""Wed May 23 05:30:58 CEST 2018""","""Tue May 22 12:24:20 CEST 2018""","""Tue May 22 12:50:58 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""15.9091"""
8,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3MD9PLUKKIFZPJZZ3S9GA42ROYLZN1""",8,"""Submitted""","""Wed May 23 06:29:48 CEST 2018""","""Tue May 22 13:18:19 CEST 2018""","""Tue May 22 13:49:48 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""16.86595"""
9,"""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3907X2AHF069MT80U0DURIXF34JP2B""",9,"""Submitted""","""Wed May 23 06:53:00 CEST 2018""","""Tue May 22 13:47:40 CEST 2018""","""Tue May 22 14:13:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""19.828416666666666"""
