workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1"""
1,"""English""","""2""","""Male""","""33""","""""","""No""","""Yes""","""""","""3"""
2,"""English""","""1""","""Female""","""21""","""The way to get the things to appear was a bit odd. I didn&quotechart like having to press down again to get the answer portion to show.""","""No""","""Yes""","""$3.00""","""2"""
3,"""English""","""0""","""Female""","""29""","""""","""No""","""Yes""","""3.50""","""3"""
4,"""english""","""2""","""Male""","""31""","""Was fun.""","""No""","""Yes""","""3.00""","""1"""
5,"""English""","""2""","""Female""","""32""","""""","""No""","""Yes""","""3.00""","""1"""
6,"""English""","""1""","""Male""","""25""","""""","""Yes""","""Yes""","""4.25""","""2"""
7,"""English""","""1""","""Female""","""26""","""""","""No""","""Yes""","""4.10""","""1"""
8,"""English""","""2""","""Male""","""31""","""This was a good hit. I wish you good luck with the study.""","""No""","""Yes""","""Yes, I think so.""","""2"""
9,"""English""","""2""","""Female""","""57""","""That was pretty intense, but I got into a groove and was able to do the HIT in a relatively good time, while being very focused.""","""Yes""","""Yes""","""3.00""","""3"""
