workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""English""","""1""","""Male""","""26""","""By having to press down, it kept scrolling down my screen. I don&quotechart know if this was intentional, but it made it so I could only read the line for about half a second. ""","""No""","""Yes""","""yes""","""3"""
1,"""English""","""2""","""Male""","""64""","""I think I got better, took me a little bit to get I was judging the first sentence as the TF. For whatever reason I expected the first thing you told me to be true, and I should judge the 2nd. Not exactly sure why, but that would have felt more natural to me.""","""No""","""Yes""","""4""","""4"""
2,"""english""","""2""","""Male""","""44""","""Very interesting.""","""No""","""Yes""","""4.00""","""1"""
3,"""English""","""2""","""Female""","""33""","""The timer was kind of short. I also would occasionally forget to hold down the down button and would miss the first sentence so this task presented an honest but pleasant challenge to me.""","""No""","""Yes""","""Yes""","""3"""
4,"""english""","""1""","""Female""","""47""","""""","""No""","""Yes""","""4.00""","""1"""
5,"""english""","""1""","""Male""","""52""","""""","""No""","""Yes""","""4.50""","""3"""
6,"""English""","""2""","""Female""","""46""","""very interesting choice of words""","""No""","""Yes""","""4.00""","""2"""
7,"""English""","""2""","""Male""","""53""","""Took a while to figure it out. Also, many times I hit false when I meant true.""","""No""","""Yes""","""4""","""3"""
8,"""eNGLISH""","""2""","""Male""","""26""","""Great HIT thank you.""","""No""","""Yes""","""4.00""","""1"""
9,"""English""","""1""","""Female""","""44""","""Thank you""","""No""","""Yes""","""yes""","""2"""
