workerid,A,B,read_time_two_and_decision,percent,nondecision_time,quant,read_time_one,response
0,"""glerb""","""fizzda""",203,20,4217,"""All""",209,"""False"""
0,"""thonk""","""krangly""",161,82,546,"""Some""",236,"""True"""
0,"""slarm""","""briddle""",143,11,3123,"""None""",235,"""True"""
0,"""klong""","""nooty""",295,62,238,"""All""",257,"""False"""
0,"""puctor""","""recure""",126,43,312,"""Many""",134,"""False"""
0,"""ingell""","""nalill""",148,52,26,"""Few""",142,"""True"""
0,"""chevel""","""podden""",215,92,51,"""More than half""",217,"""False"""
0,"""devole""","""sholly""",135,43,56,"""Many""",171,"""False"""
0,"""strant""","""potind""",186,85,1053,"""Few""",165,"""False"""
0,"""beckel""","""racual""",180,45,630,"""Fewer than half""",94,"""False"""
0,"""pirter""","""secent""",165,30,136,"""More than half""",99,"""False"""
0,"""boddle""","""molill""",171,61,105,"""Many""",181,"""False"""
0,"""puggle""","""entand""",256,19,176,"""Most""",206,"""False"""
0,"""bameta""","""unzast""",94,61,97,"""More than half""",244,"""False"""
0,"""cosutz""","""spover""",383,48,70,"""Most""",382,"""False"""
0,"""raster""","""movell""",1283,95,397,"""More than half""",286,"""True"""
0,"""mecket""","""plumry""",1283,61,398,"""Many""",286,"""True"""
0,"""isbant""","""unairs""",259,92,767,"""More than half""",130,"""False"""
0,"""sporer""","""firtly""",183,72,179,"""More than half""",278,"""True"""
0,"""clidge""","""hensly""",209,17,153,"""Many""",221,"""False"""
0,"""clidge""","""hensly""",80,98,75,"""Most""",207,"""False"""
0,"""chadop""","""shaple""",176,1,262,"""More than half""",176,"""False"""
0,"""jallem""","""sildal""",162,29,207,"""Few""",157,"""True"""
0,"""pengyl""","""sedest""",144,35,577,"""Few""",204,"""True"""
0,"""shrile""","""athoid""",162,19,189,"""Most""",152,"""True"""
0,"""bameta""","""unzast""",226,88,116,"""Many""",199,"""False"""
0,"""pluset""","""stubad""",234,81,175,"""Few""",165,"""True"""
0,"""clidge""","""hensly""",232,23,51,"""Few""",222,"""True"""
0,"""beckel""","""racual""",1180,3,172,"""Most""",239,"""False"""
0,"""shurry""","""preser""",1180,80,173,"""Many""",239,"""False"""
0,"""menner""","""nandow""",223,64,33,"""Few""",193,"""False"""
0,"""mecket""","""plumry""",161,67,147,"""Few""",207,"""True"""
0,"""cather""","""funder""",235,55,141,"""Most""",180,"""True"""
0,"""bameta""","""unzast""",162,12,105,"""Few""",204,"""True"""
0,"""strant""","""potind""",156,85,174,"""Fewer than half""",208,"""False"""
0,"""pobbit""","""spippy""",187,42,79,"""Many""",166,"""False"""
0,"""tecker""","""biller""",221,55,453,"""More than half""",170,"""True"""
0,"""gukbar""","""soarse""",134,10,453,"""Many""",150,"""True"""
0,"""menner""","""nandow""",158,77,233,"""More than half""",172,"""True"""
0,"""kustle""","""reshix""",191,28,154,"""More than half""",134,"""True"""
0,"""hadder""","""ollidy""",217,3,59,"""Many""",180,"""True"""
0,"""pengyl""","""sedest""",184,91,84,"""Many""",268,"""True"""
0,"""werner""","""hurmer""",194,3,80,"""Many""",219,"""True"""
0,"""monter""","""melelt""",224,84,102,"""Few""",134,"""True"""
0,"""coamin""","""mucond""",203,1,181,"""More than half""",178,"""True"""
0,"""chevel""","""podden""",161,82,185,"""Few""",245,"""False"""
0,"""boddle""","""molill""",235,33,242,"""Few""",180,"""True"""
0,"""mecket""","""plumry""",222,68,108,"""Fewer than half""",183,"""True"""
0,"""pliper""","""sesare""",197,60,567,"""Few""",189,"""True"""
0,"""chevel""","""podden""",199,30,287,"""Many""",196,"""True"""
0,"""schook""","""jabant""",198,3,135,"""Fewer than half""",134,"""True"""
0,"""padnet""","""fanely""",183,69,227,"""Few""",194,"""False"""
0,"""awplor""","""fasees""",142,11,127,"""Many""",167,"""True"""
0,"""coppar""","""hunene""",142,99,122,"""Many""",299,"""True"""
0,"""pliper""","""sesare""",155,20,139,"""Fewer than half""",137,"""True"""
0,"""jallem""","""sildal""",253,9,121,"""Many""",207,"""False"""
0,"""dorder""","""coggon""",185,53,131,"""Few""",168,"""True"""
0,"""chulks""","""vulhor""",434,22,592,"""Fewer than half""",138,"""True"""
0,"""isbant""","""unairs""",434,9,594,"""Most""",138,"""True"""
0,"""coamin""","""mucond""",156,39,57,"""Most""",156,"""True"""
0,"""bemble""","""squank""",180,98,61,"""Few""",226,"""True"""
0,"""strant""","""potind""",180,37,25,"""Most""",221,"""True"""
0,"""chadop""","""shaple""",197,47,251,"""Few""",328,"""False"""
0,"""gukbar""","""soarse""",185,40,57,"""Few""",235,"""False"""
0,"""chadop""","""shaple""",212,82,7,"""Most""",220,"""True"""
0,"""pengyl""","""sedest""",203,89,160,"""Fewer than half""",206,"""True"""
0,"""monter""","""melelt""",194,22,323,"""Many""",197,"""True"""
0,"""clidge""","""hensly""",142,12,69,"""More than half""",161,"""True"""
0,"""padnet""","""fanely""",132,69,307,"""Most""",130,"""True"""
0,"""birler""","""enciad""",232,37,352,"""Fewer than half""",228,"""False"""
0,"""pengyl""","""sedest""",231,14,97,"""More than half""",258,"""False"""
0,"""boddle""","""molill""",200,65,137,"""More than half""",175,"""False"""
0,"""ancits""","""smeath""",243,74,32,"""Many""",197,"""True"""
0,"""chevel""","""podden""",163,56,119,"""Fewer than half""",215,"""False"""
0,"""sporer""","""firtly""",176,73,79,"""Most""",179,"""False"""
0,"""spunge""","""wenple""",181,20,163,"""Many""",210,"""True"""
0,"""ancits""","""smeath""",268,47,10,"""Few""",214,"""False"""
0,"""sporer""","""firtly""",156,17,165,"""Fewer than half""",190,"""True"""
0,"""isbant""","""unairs""",126,85,358,"""Few""",180,"""True"""
0,"""puctor""","""recure""",172,88,330,"""Few""",160,"""True"""
0,"""puggle""","""entand""",227,20,285,"""Fewer than half""",167,"""True"""
0,"""pobbit""","""spippy""",195,44,277,"""Fewer than half""",171,"""True"""
0,"""tecker""","""biller""",262,94,375,"""Few""",188,"""True"""
0,"""padnet""","""fanely""",817,6,233,"""Many""",231,"""True"""
0,"""devole""","""sholly""",817,21,235,"""Few""",231,"""True"""
0,"""cather""","""funder""",167,25,54,"""Many""",220,"""True"""
0,"""pengyl""","""sedest""",142,82,366,"""Most""",213,"""True"""
0,"""strant""","""potind""",141,47,355,"""Many""",178,"""True"""
0,"""tiklet""","""hullaw""",175,79,80,"""Most""",222,"""True"""
0,"""tecker""","""biller""",254,61,106,"""Fewer than half""",266,"""True"""
0,"""fleeve""","""scalfs""",266,92,351,"""Most""",65,"""True"""
0,"""ancits""","""smeath""",154,88,43,"""Most""",184,"""True"""
0,"""menner""","""nandow""",180,66,84,"""Most""",180,"""False"""
0,"""coppar""","""hunene""",520,13,72,"""Few""",180,"""False"""
0,"""shamer""","""bloifs""",520,64,74,"""Most""",180,"""False"""
0,"""kustle""","""reshix""",348,25,149,"""Most""",227,"""False"""
0,"""zetten""","""unfobs""",189,68,44,"""More than half""",189,"""False"""
0,"""shrile""","""athoid""",300,10,395,"""More than half""",194,"""True"""
0,"""shrile""","""athoid""",168,32,94,"""Fewer than half""",216,"""True"""
0,"""dorder""","""coggon""",392,32,642,"""Many""",225,"""True"""
0,"""bemble""","""squank""",84,90,234,"""Many""",215,"""True"""
0,"""raster""","""movell""",141,25,90,"""Many""",146,"""False"""
0,"""jallem""","""sildal""",206,72,124,"""More than half""",221,"""True"""
0,"""pirter""","""secent""",230,20,194,"""Many""",110,"""False"""
0,"""birler""","""enciad""",171,70,331,"""Most""",161,"""True"""
0,"""sporer""","""firtly""",226,97,327,"""Many""",173,"""False"""
0,"""tiklet""","""hullaw""",155,26,61,"""Many""",181,"""False"""
0,"""cather""","""funder""",188,28,86,"""More than half""",174,"""True"""
0,"""kustle""","""reshix""",140,38,218,"""Fewer than half""",230,"""True"""
0,"""coppar""","""hunene""",106,15,364,"""Fewer than half""",148,"""True"""
0,"""jallem""","""sildal""",267,5,886,"""Most""",170,"""False"""
0,"""tiklet""","""hullaw""",190,95,286,"""More than half""",208,"""True"""
0,"""tecker""","""biller""",189,86,75,"""Most""",184,"""False"""
0,"""ingell""","""nalill""",133,60,62,"""Many""",133,"""True"""
0,"""ancits""","""smeath""",130,77,262,"""Fewer than half""",138,"""True"""
0,"""pliper""","""sesare""",173,39,54,"""Most""",133,"""True"""
0,"""raster""","""movell""",212,93,107,"""Most""",174,"""False"""
0,"""shamer""","""bloifs""",213,97,82,"""Fewer than half""",176,"""False"""
0,"""zetten""","""unfobs""",276,30,75,"""Most""",181,"""False"""
0,"""chulks""","""vulhor""",129,66,210,"""More than half""",245,"""False"""
0,"""fleeve""","""scalfs""",235,28,110,"""Few""",175,"""False"""
0,"""werner""","""hurmer""",267,20,70,"""Most""",221,"""False"""
0,"""dorder""","""coggon""",122,68,68,"""More than half""",116,"""False"""
0,"""chadop""","""shaple""",290,56,74,"""Fewer than half""",208,"""False"""
0,"""tiklet""","""hullaw""",294,43,432,"""Few""",189,"""False"""
0,"""bameta""","""unzast""",286,62,102,"""Most""",302,"""False"""
0,"""chadop""","""shaple""",158,33,74,"""Many""",170,"""False"""
0,"""werner""","""hurmer""",176,29,87,"""More than half""",185,"""False"""
0,"""shrile""","""athoid""",215,59,80,"""Many""",231,"""False"""
0,"""awplor""","""fasees""",226,46,98,"""Fewer than half""",224,"""False"""
0,"""spunge""","""wenple""",251,37,66,"""Most""",217,"""False"""
0,"""gukbar""","""soarse""",207,12,77,"""Fewer than half""",234,"""False"""
0,"""middor""","""drooty""",222,44,125,"""Most""",188,"""False"""
0,"""pliper""","""sesare""",291,37,80,"""Many""",292,"""False"""
0,"""russer""","""huttle""",236,89,110,"""Most""",198,"""False"""
0,"""umpond""","""marire""",162,76,90,"""Few""",255,"""False"""
