date,workerid,amount
Wed Jun 13 11:09:40 CEST 2018,A183WYXN12P2TJ,4.0
Wed Jun 13 11:17:54 CEST 2018,A1F3QNQHIL7K4U,4.0
Wed Jun 13 11:18:38 CEST 2018,A38C75ASWQXR5,4.0
Wed Jun 13 11:24:46 CEST 2018,A1HYMGPYXU97ZN,4.0
Wed Jun 13 11:36:18 CEST 2018,A2OO4PG3LBLP5I,4.0
Wed Jun 13 11:50:51 CEST 2018,A18E16UFE351U6,4.0
Wed Jun 13 11:54:27 CEST 2018,A3L2UB07EZJAMD,4.0
Wed Jun 13 12:05:34 CEST 2018,A2UUKFTD0VUX2S,4.0
Wed Jun 13 12:21:57 CEST 2018,AJXIC6Q5EM76P,4.0
Wed Jun 13 12:43:41 CEST 2018,AVJUIF9QHQRY8,4.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
