workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3"""
1,"""english""","""1""","""Female""","""37""","""""","""No""","""Yes""","""4""","""3"""
2,"""ENGLISH""","""2""","""Male""","""52""","""I found it fun and interesting.""","""Yes""","""Yes""","""4.00""","""3"""
3,"""english""","""2""","""Female""","""30""","""no comments""","""Yes""","""Yes""","""yes it&quotechars definitely the fair price""","""3"""
4,"""English""","""2""","""Male""","""27""","""The interface worked well for me and it was easy to read and complete the trials.""","""No""","""Yes""","""4""","""2"""
5,"""English""","""2""","""Male""","""36""","""""","""No""","""Yes""","""4.00""","""1"""
6,"""English""","""1""","""Male""","""33""","""""","""No""","""Yes""","""15""","""3"""
7,"""ENGLISH""","""2""","""Male""","""27""","""VERY NICE THIS SURVEY""","""No""","""Confused""","""4.00""","""3"""
8,"""usa""","""2""","""Female""","""57""","""""","""No""","""Yes""","""4""","""3"""
9,"""English""","""2""","""Female""","""70""","""Sorry, I was so slow and sometimes wrong, maybe too old!  My daughter tells me this Mturk work is good practice, keeps dementia away, lol.""","""No""","""Yes""","""4.00""","""2"""
