date,workerid,amount
Tue Oct 02 10:22:26 CEST 2018,A3CSX2WMTP4IOL,4.0
Tue Oct 02 10:34:52 CEST 2018,A3U6IA3JUSFZ2M,4.0
Tue Oct 02 10:35:34 CEST 2018,A1B76WYZ47BQJ,4.0
Tue Oct 02 11:02:19 CEST 2018,A2YCHYBHJESOUD,4.0
Tue Oct 02 11:06:10 CEST 2018,A4SC8G0149GEG,4.0
Tue Oct 02 11:07:18 CEST 2018,A1F3QNQHIL7K4U,4.0
Tue Oct 02 11:19:02 CEST 2018,A2ADEPVGNNXNPA,4.0
Tue Oct 02 11:19:43 CEST 2018,A1SQK9J346UIXK,4.0
Tue Oct 02 11:21:40 CEST 2018,A2BXQ8SZLFQF4D,4.0
Tue Oct 02 11:21:41 CEST 2018,A1AZTE5W2MF1TU,4.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
