workerid,A,percent_2,percent_1,B,read_and_decide_time,quant,read_time_one,response
0,"""glerb""",80,20,"""fizzda""",4132,"""All""",1242,false
0,"""thonk""",18,82,"""krangly""",2555,"""Some""",404,true
0,"""slarm""",89,11,"""briddle""",1407,"""None""",565,true
0,"""klong""",38,62,"""nooty""",3769,"""All""",192,true
0,"""dring""",72,28,"""larfy""",944,"""None""",169,false
0,"""floom""",8,92,"""plerful""",1942,"""Some""",117,true
0,"""blek""",46,54,"""orkital""",1015,"""None""",564,false
0,"""tenk""",97,3,"""glurgy""",2583,"""All""",343,true
0,"""schook""","""53""","""47""","""jabant""",952,"""Few""",720,true
0,"""schook""","""45""","""55""","""jabant""",2344,"""Fewer than half""",164,false
0,"""tiklet""","""42""","""58""","""hullaw""",3111,"""Fewer than half""",809,true
0,"""cather""","""98""","""2""","""funder""",1986,"""Fewer than half""",153,false
0,"""puggle""","""72""","""28""","""entand""",2328,"""Many""",877,false
0,"""devole""","""5""","""95""","""sholly""",1519,"""Many""",569,true
0,"""pirter""","""54""","""46""","""secent""",1403,"""Many""",128,true
0,"""cosutz""","""60""","""40""","""spover""",1224,"""Many""",857,true
0,"""pobbit""","""55""","""45""","""spippy""",954,"""Most""",655,false
0,"""shrile""","""33""","""67""","""athoid""",976,"""Most""",625,true
0,"""middor""","""1""","""99""","""drooty""",1149,"""Fewer than half""",718,false
0,"""umpond""","""75""","""25""","""marire""",1848,"""Most""",644,false
0,"""russer""","""61""","""39""","""huttle""",2640,"""Fewer than half""",567,true
0,"""chulks""","""1""","""99""","""vulhor""",1117,"""More than half""",2395,true
0,"""raster""","""77""","""23""","""movell""",1329,"""Fewer than half""",871,true
0,"""menner""","""83""","""17""","""nandow""",1982,"""Fewer than half""",153,true
0,"""padnet""","""29""","""71""","""fanely""",1546,"""Few""",640,false
0,"""tiklet""","""56""","""44""","""hullaw""",1064,"""Many""",772,true
0,"""ancits""","""5""","""95""","""smeath""",989,"""Most""",708,true
0,"""zetten""","""1""","""99""","""unfobs""",1146,"""Many""",727,true
