date,workerid,amount
Tue Oct 23 13:31:27 CEST 2018,A2CK0OXMPOR9LE,4.0
Tue Oct 23 13:31:29 CEST 2018,A1NKBXOTZAI1YK,4.0
Tue Oct 23 13:31:38 CEST 2018,A3LARK2XWBY8BI,4.0
Tue Oct 23 13:31:59 CEST 2018,A20SL254675EOK,4.0
Tue Oct 23 13:33:05 CEST 2018,AIZEEJUMWJ0WX,4.0
Tue Oct 23 13:33:59 CEST 2018,A4OVCB3307414,4.0
Tue Oct 23 13:34:30 CEST 2018,A1LDN6OWYI4L2R,4.0
Tue Oct 23 13:34:31 CEST 2018,A2541C8MY0BYV3,4.0
Tue Oct 23 13:34:53 CEST 2018,A204JAK7QRDWVM,4.0
Tue Oct 23 13:35:06 CEST 2018,A3GPM3SMQT5SNQ,4.0
Tue Oct 23 13:35:21 CEST 2018,A26HS51XOO1PUU,4.0
Tue Oct 23 13:36:04 CEST 2018,A27SMEOPKV84VI,4.0
Tue Oct 23 13:36:18 CEST 2018,A2MM10557W7PLD,4.0
Tue Oct 23 13:37:12 CEST 2018,A3VIQ9XPOYB8K6,4.0
Tue Oct 23 13:37:32 CEST 2018,A2EI075XZT9Y2S,4.0
Tue Oct 23 13:37:52 CEST 2018,A1G4QY3W5J5PMW,4.0
Tue Oct 23 13:38:27 CEST 2018,AZSB87DCJL4QB,4.0
Tue Oct 23 13:38:52 CEST 2018,A23OS0HQ12VVOR,4.0
Tue Oct 23 13:39:09 CEST 2018,A3BTOARR25LQQN,4.0
Tue Oct 23 13:39:22 CEST 2018,A1D68GESUYX17I,4.0
Tue Oct 23 13:39:28 CEST 2018,A25FH7PXC446RG,4.0
Tue Oct 23 13:39:45 CEST 2018,A2IQ0QCTQ3KWLT,4.0
Tue Oct 23 13:39:52 CEST 2018,A1VW8Y7XCV3DRW,4.0
Tue Oct 23 13:40:00 CEST 2018,A1DS5O8MSI3ZH0,4.0
Tue Oct 23 13:40:14 CEST 2018,A2P76QVLSGJR45,4.0
Tue Oct 23 13:41:00 CEST 2018,ANYB94DHDJKNO,4.0
Tue Oct 23 13:41:23 CEST 2018,A1KWIJXTC47YWE,4.0
Tue Oct 23 13:41:34 CEST 2018,A2DDLZD87UHANI,4.0
Tue Oct 23 13:41:47 CEST 2018,APIMRVTG43CPH,4.0
Tue Oct 23 13:42:06 CEST 2018,A1PAY3X73PQ16S,4.0
Tue Oct 23 13:42:22 CEST 2018,A12A5GVJX5RZC4,4.0
Tue Oct 23 13:42:27 CEST 2018,AVI7K876BV3QL,4.0
Tue Oct 23 13:42:31 CEST 2018,A3180VXVP8MOIH,4.0
Tue Oct 23 13:42:49 CEST 2018,A27RS192S3Q5EW,4.0
Tue Oct 23 13:42:52 CEST 2018,AC8AP945KVJW5,4.0
Tue Oct 23 13:42:56 CEST 2018,AU7A3QNJF3O00,4.0
Tue Oct 23 13:43:15 CEST 2018,A1FCD2XCRJ2UOY,4.0
Tue Oct 23 13:43:31 CEST 2018,A2CHKF2A6F4MIX,4.0
Tue Oct 23 13:43:31 CEST 2018,A39HIVD7JKUIGK,4.0
Tue Oct 23 13:43:35 CEST 2018,A21HKDMHYW1ITP,4.0
Tue Oct 23 13:43:56 CEST 2018,A2YKW761AK4ZGY,4.0
Tue Oct 23 13:43:59 CEST 2018,A1FYMTQ3YSEOQ9,4.0
Tue Oct 23 13:45:11 CEST 2018,A1CE2XPYCDRHVZ,4.0
Tue Oct 23 13:45:26 CEST 2018,A3QL8ZAD9BKWUF,4.0
Tue Oct 23 13:45:42 CEST 2018,AZCGSVDT79E6X,4.0
Tue Oct 23 13:45:50 CEST 2018,AHKRGPN5D3I2G,4.0
Tue Oct 23 13:45:57 CEST 2018,A2YTQDLACTLIBA,4.0
Tue Oct 23 13:46:12 CEST 2018,AWZCVOUD0LPT,4.0
Tue Oct 23 13:47:13 CEST 2018,A3AFC26CB0AXMI,4.0
Tue Oct 23 13:47:13 CEST 2018,AQOXSP4W3ITSW,4.0
Tue Oct 23 13:48:32 CEST 2018,A10HOQZSWUIYHC,4.0
Tue Oct 23 13:49:02 CEST 2018,A18E16UFE351U6,4.0
Tue Oct 23 13:49:06 CEST 2018,A2G7N0X0PNX0EE,4.0
Tue Oct 23 13:49:07 CEST 2018,ARHBT4K14I7U,4.0
Tue Oct 23 13:49:58 CEST 2018,A10JXOU89D5RXR,4.0
Tue Oct 23 13:50:16 CEST 2018,AEWE62WB242HX,4.0
Tue Oct 23 13:50:30 CEST 2018,AH4QNMYBTB3PG,4.0
Tue Oct 23 13:51:41 CEST 2018,A1OLT0BTK436DB,4.0
Tue Oct 23 13:51:50 CEST 2018,APVWMP5952IOY,4.0
Tue Oct 23 13:52:04 CEST 2018,A1ING769NXJIHR,4.0
Tue Oct 23 13:52:04 CEST 2018,A1AZTE5W2MF1TU,4.0
Tue Oct 23 13:52:19 CEST 2018,A2TI9CGVG147MZ,4.0
Tue Oct 23 13:52:26 CEST 2018,A9K0CV70JWG1W,4.0
Tue Oct 23 13:52:36 CEST 2018,A1KEAHVVML6319,4.0
Tue Oct 23 13:53:56 CEST 2018,A28SYXQL3YOKVL,4.0
Tue Oct 23 13:54:07 CEST 2018,A30J4IZCMCR31F,4.0
Tue Oct 23 13:54:40 CEST 2018,A3CWYWKQXX4RIZ,4.0
Tue Oct 23 13:55:56 CEST 2018,A9MGD6PRW1N7K,4.0
Tue Oct 23 13:56:01 CEST 2018,A2USG1JP96FTV,4.0
Tue Oct 23 13:56:59 CEST 2018,A1DY3EW6Q0B5K5,4.0
Tue Oct 23 13:57:17 CEST 2018,A1LNOLSDHZTUNW,4.0
Tue Oct 23 13:57:35 CEST 2018,A2QQE2ZP8NSRKX,4.0
Tue Oct 23 13:58:09 CEST 2018,A1MB3A5MC58LK6,4.0
Tue Oct 23 13:58:48 CEST 2018,A18XATHLIBBUGA,4.0
Tue Oct 23 14:02:48 CEST 2018,A2N5WBEBF5CY37,4.0
Tue Oct 23 14:07:30 CEST 2018,AYMTA837WPR41,4.0
Tue Oct 23 14:10:06 CEST 2018,A4UIXESOEZI05,4.0
Tue Oct 23 14:10:38 CEST 2018,A2Z6NL0CTXY0ZB,4.0
Tue Oct 23 14:14:12 CEST 2018,ACFPXI6LMHSZU,4.0
Tue Oct 23 14:15:04 CEST 2018,A1FUR4UJ0S46W6,4.0
Tue Oct 23 14:20:27 CEST 2018,A1E5RXWHKRBYJJ,4.0
Tue Oct 23 14:22:49 CEST 2018,A2LMQ4497NMK3S,4.0
Tue Oct 23 14:29:23 CEST 2018,A199JHOUGU0XPS,4.0
Tue Oct 23 14:29:35 CEST 2018,A2V5E94MHIR821,4.0
Tue Oct 23 14:35:55 CEST 2018,A2SRC38HIJ2X19,4.0
Tue Oct 23 14:37:39 CEST 2018,A2GB0RI43KU4Z,4.0
