workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3H7XDTSHKCSPLWD851CELGZD3STGWX""",0,"""Submitted""","""Wed Oct 03 16:03:16 CEST 2018""","""Tue Oct 02 23:16:25 CEST 2018""","""Tue Oct 02 23:23:16 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""2.3661833333333333"""
1,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3ZWFC4W1UU8EZ00RVNWQGWRKAYERF6""",1,"""Submitted""","""Wed Oct 03 16:05:57 CEST 2018""","""Tue Oct 02 23:16:28 CEST 2018""","""Tue Oct 02 23:25:57 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""8.62345"""
2,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3K3R2QNK8B4XEI1VWVR3BBSTEZN9U0""",2,"""Submitted""","""Wed Oct 03 16:07:42 CEST 2018""","""Tue Oct 02 23:16:24 CEST 2018""","""Tue Oct 02 23:27:42 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""10.874233333333333"""
3,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3ZOTGHDK5ICK6SDX9FFLT05UO1OOSD""",3,"""Submitted""","""Wed Oct 03 16:08:02 CEST 2018""","""Tue Oct 02 23:16:27 CEST 2018""","""Tue Oct 02 23:28:02 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""11.284383333333333"""
4,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3BEFOD78W6UD44QA6Y4Q3T0JFL6M4P""",4,"""Submitted""","""Wed Oct 03 16:08:06 CEST 2018""","""Tue Oct 02 23:16:23 CEST 2018""","""Tue Oct 02 23:28:06 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""11.314233333333334"""
5,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3QFUFYSY9YG7YUYTKB0D83GAIKU4F0""",5,"""Submitted""","""Wed Oct 03 16:08:38 CEST 2018""","""Tue Oct 02 23:16:24 CEST 2018""","""Tue Oct 02 23:28:38 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""11.307816666666668"""
6,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""32KTQ2V7RDGE1AWMNT0HK1BZ1DKM9L""",6,"""Submitted""","""Wed Oct 03 16:08:46 CEST 2018""","""Tue Oct 02 23:16:25 CEST 2018""","""Tue Oct 02 23:28:46 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""11.6952"""
7,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""32VNZTT0A7541K32B607PSUTL85R4I""",7,"""Submitted""","""Wed Oct 03 16:08:55 CEST 2018""","""Tue Oct 02 23:16:25 CEST 2018""","""Tue Oct 02 23:28:55 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""10.554483333333334"""
8,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""351SEKWQS0IQ4093Z95J6XUPSYZMD2""",8,"""Submitted""","""Wed Oct 03 16:08:57 CEST 2018""","""Tue Oct 02 23:16:26 CEST 2018""","""Tue Oct 02 23:28:57 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""10.493733333333333"""
9,"""3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 23:16:03 CEST 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 22:16:03 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT7MDKOCGEUAD710VBI0K""","""38F5OAUN5NDOVD7IHZMKE0CXP1X7HL""",9,"""Submitted""","""Wed Oct 03 16:09:08 CEST 2018""","""Tue Oct 02 23:16:22 CEST 2018""","""Tue Oct 02 23:29:08 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""11.981666666666667"""
