workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""english""","""1""","""Male""","""31""","""""","""No""","""Yes""","""this was fair""","""3"""
1,"""English""","""1""","""Male""","""25""","""""","""No""","""Yes""","""4.00""","""1"""
2,"""English""","""2""","""Male""","""24""","""It was a bit strange, but not too bad.""","""No""","""Yes""","""I think $4 is fair.""","""3"""
3,"""English""","""1""","""Female""","""22""","""Sometimes I would get confused by words like most or few but soon I got a good understanding and was able to progress easier.""","""No""","""Yes""","""I think it is plenty fair""","""1"""
4,"""English""","""1""","""Male""","""30""","""No issues to report!""","""Yes""","""Yes""","""Very much so""","""1"""
5,"""English""","""2""","""Male""","""29""","""I enjoyed it""","""No""","""No""","""4.00""","""3"""
6,"""English""","""2""","""Female""","""29""","""n/a""","""No""","""Yes""","""3.00""","""1"""
7,"""English""","""1""","""Male""","""29""","""I accidentally hit J a few times when I meant L !""","""No""","""Yes""","""4""","""2"""
8,"""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""6.00""","""2"""
9,"""english""","""2""","""Female""","""30""","""""","""No""","""Yes""","""4""","""3"""
10,"""English""","""1""","""Female""","""26""","""This was tricky! I definitely got a few wrong due to focusing too hard on the action of my fingers, and slipping up. When I got into a \""groove\"" I found it easier, but the difficult controls definitely made me slip up on a few.""","""No""","""Yes""","""yes""","""2"""
11,"""English""","""1""","""Female""","""37""","""""","""No""","""Yes""","""4.00""","""2"""
12,"""English""","""2""","""Male""","""24""","""""","""No""","""Yes""","""3.00""","""1"""
13,"""english""","""2""","""Female""","""36""","""""","""No""","""Yes""","""4.00""","""1"""
14,"""English""","""2""","""Male""","""26""","""It was actually a very cool HIT. Would definitely try something similar again.""","""No""","""Yes""","""4.00""","""2"""
15,"""English""","""2""","""Female""","""45""","""""","""No""","""Yes""","""4.00""","""4"""
16,"""english""","""1""","""Male""","""49""","""it was difficult to always press the button I intended, there were several where I immediately realized that I had pressed the wrong J or L""","""No""","""Yes""","""4""","""3"""
17,"""English""","""2""","""Male""","""28""","""""","""No""","""Yes""","""4.00""","""3"""
18,"""english""","""2""","""Female""","""58""","""thank you""","""Yes""","""Yes""","""6.00""","""2"""
19,"""english""","""2""","""Female""","""24""","""""","""No""","""Yes""","""yes""","""3"""
20,"""English""","""2""","""Male""","""30""","""Once I realized that the subjects were irrelevant, it became quite simple/quick. Thanks so much.""","""Yes""","""Yes""","""4""","""2"""
21,"""English""","""1""","""Male""","""38""","""""","""No""","""Yes""","""4.00""","""1"""
22,"""English""","""1""","""Male""","""37""","""None""","""No""","""No""","""4.00""","""2"""
23,"""English""","""2""","""Male""","""27""","""""","""No""","""Yes""","""4""","""3"""
24,""" english""","""2""","""Male""","""26""","""no issues""","""Yes""","""Yes""","""4.00""","""1"""
25,"""English""","""2""","""Male""","""26""","""Good study! More enjoyable than the average one!""","""No""","""Yes""","""I think the listed amount of 4.00 is a completely fair price""","""3"""
26,"""English""","""1""","""Female""","""37""","""""","""No""","""Yes""","""6""","""2"""
27,"""English""","""1""","""Male""","""24""","""thanks""","""No""","""Yes""","""4.00""","""2"""
28,"""English""","""2""","""Male""","""38""","""That was hard I made a couple involuntary mistakes but I guess that is expected.""","""Yes""","""Yes""","""4""","""3"""
29,"""English""","""2""","""Male""","""26""","""The HIT was fun and engaging all the way through. Very interesting work. Good luck with your results!""","""No""","""Yes""","""4.00""","""4"""
30,"""english""","""2""","""Male""","""31""","""Pretty easy after a while.""","""No""","""Yes""","""yes""","""1"""
31,"""English""","""2""","""Male""","""59""","""""","""No""","""Yes""","""yes""","""1"""
32,"""English""","""2""","""Male""","""70""","""""","""No""","""Yes""","""no""","""3"""
33,"""English""","""1""","""Male""","""26""","""""","""No""","""Yes""","""5.00""","""1"""
34,"""English""","""2""","""Male""","""22""","""""","""Yes""","""Yes""","""$4.00""","""1"""
35,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""$6""","""3"""
36,"""english""","""2""","""Male""","""36""","""""","""No""","""Yes""","""5""","""3"""
37,"""English""","""2""","""Female""","""40""","""It was easy to get into a rhythm after a while, or at least I think I was able to.""","""No""","""No""","""4""","""3"""
38,"""english""","""1""","""Female""","""32""","""the instructions were clear and somewhat easy to follow.""","""Yes""","""Yes""","""4""","""3"""
39,"""English""","""2""","""Female""","""27""","""""","""No""","""Yes""","""4.00""","""3"""
40,"""English""","""2""","""Female""","""28""","""""","""No""","""Yes""","""4.00""","""1"""
41,"""English""","""2""","""Male""","""34""","""All was clear and worked correctly. Thanks for the opportunity. ""","""Yes""","""Yes""","""Yes""","""1"""
