workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""36H9ULYP62VX1CHENINHE55TD7BJFQ""",0,"""Submitted""","""Thu Nov 08 09:15:43 CET 2018""","""Wed Nov 07 16:25:10 CET 2018""","""Wed Nov 07 16:35:43 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""10.486116666666666"""
1,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3GDTJDAPVUCEN5DCI1U3K5GOUXTM8G""",1,"""Submitted""","""Thu Nov 08 09:15:44 CET 2018""","""Wed Nov 07 16:25:12 CET 2018""","""Wed Nov 07 16:35:44 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""9.607583333333332"""
2,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3LQ8PUHQFLTLKXOE0QQH5P26G7ZHIA""",2,"""Submitted""","""Thu Nov 08 09:16:14 CET 2018""","""Wed Nov 07 16:25:18 CET 2018""","""Wed Nov 07 16:36:14 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""7.4443166666666665"""
3,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""34QN5IT0TZSHKR65TW75M89BRUS80R""",3,"""Submitted""","""Thu Nov 08 09:16:52 CET 2018""","""Wed Nov 07 16:25:16 CET 2018""","""Wed Nov 07 16:36:52 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""11.315766666666667"""
4,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""32XVDSJFPZY31QBN2KL2AE3L8X1M2D""",4,"""Submitted""","""Thu Nov 08 09:17:25 CET 2018""","""Wed Nov 07 16:25:07 CET 2018""","""Wed Nov 07 16:37:25 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""11.596716666666667"""
5,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3IX2EGZR7BKU42MNEDNBVUJCGVMRJT""",5,"""Submitted""","""Thu Nov 08 09:17:27 CET 2018""","""Wed Nov 07 16:25:16 CET 2018""","""Wed Nov 07 16:37:27 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""11.995016666666666"""
6,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3VNXK88KKCJXRXQV1L187XUC5WN9V9""",6,"""Submitted""","""Thu Nov 08 09:17:43 CET 2018""","""Wed Nov 07 16:25:09 CET 2018""","""Wed Nov 07 16:37:43 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""12.12425"""
7,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3K772S5NP8C94SMS470QKA4EOESHE1""",7,"""Submitted""","""Thu Nov 08 09:18:17 CET 2018""","""Wed Nov 07 16:25:15 CET 2018""","""Wed Nov 07 16:38:17 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""7.246216666666666"""
8,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""37TD41K0AHAJX3GUJA6UY0BDCDWCSO""",8,"""Submitted""","""Thu Nov 08 09:18:37 CET 2018""","""Wed Nov 07 16:25:17 CET 2018""","""Wed Nov 07 16:38:37 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""12.66595"""
9,"""3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Nov 07 16:24:55 CET 2018""","""90""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Dec 07 16:24:55 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3BS6ERDL938LSDQHMRT0SH1FN9UD6H""","""3WLEIWSYHOIH9CACBN5PI9VPRB2H2Z""",9,"""Submitted""","""Thu Nov 08 09:18:40 CET 2018""","""Wed Nov 07 16:25:10 CET 2018""","""Wed Nov 07 16:38:40 CET 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""10.957716666666666"""
