workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""English""","""2""","""Male""","""35""","""""","""No""","""Yes""","""4""","""3"""
1,"""English""","""1""","""Male""","""22""","""""","""No""","""Yes""","""Its okay""","""3"""
2,"""English""","""2""","""Male""","""31""","""""","""Yes""","""Yes""","""yes""","""3"""
3,"""english""","""2""","""Female""","""36""","""""","""No""","""Yes""","""4""","""1"""
4,"""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""3"""
5,"""English""","""1""","""Male""","""26""","""""","""No""","""Yes""","""5.00""","""1"""
6,"""English""","""1""","""Male""","""35""","""""","""Yes""","""Yes""","""yes""","""3"""
7,"""English""","""1""","""Female""","""24""","""""","""No""","""Yes""","""""","""3"""
8,"""English""","""1""","""Male""","""31""","""Everything worked fine, thanks. I think I messed up a couple answers (2-3) because for some reason I intuitively wanted False (J) to be on the left and True on the right (L). ""","""No""","""Yes""","""4.00""","""3"""
9,"""English""","""2""","""Male""","""29""","""Awesome study.""","""No""","""Yes""","""4.00""","""1"""
10,"""English""","""2""","""Female""","""37""","""""","""No""","""Yes""","""4.00""","""2"""
11,"""english""","""1""","""Male""","""29""","""""","""No""","""Yes""","""4.00""","""3"""
12,"""English""","""2""","""Female""","""25""","""This was simple to do once I got it going! I focused only on the first few words and how they compared. I think I was able to get it done fairly quickly once figuring that out! Thanks for the fun HIT!""","""No""","""Yes""","""4.00""","""4"""
13,"""English""","""1""","""Male""","""37""","""The keybinds should be shifted to use both hands.  The repetition on one hand starts to hurt.""","""No""","""Yes""","""5""","""2"""
14,"""English""","""1""","""Male""","""24""","""""","""No""","""Yes""","""4.00""","""1"""
15,"""English""","""1""","""Male""","""41""","""""","""No""","""Yes""","""yes""","""3"""
16,"""english""","""2""","""Male""","""33""","""-""","""No""","""Yes""","""4""","""2"""
17,"""english""","""2""","""Female""","""29""","""thanks :)""","""No""","""Yes""","""yes""","""3"""
18,"""English""","""2""","""Male""","""50""","""It took me a while to be able to read the statements exactly since they flashed by so quickly""","""Yes""","""Yes""","""4""","""3"""
19,"""englishg""","""2""","""Female""","""36""","""Great study!""","""No""","""Yes""","""4.00""","""2"""
20,"""English""","""2""","""Male""","""28""","""Great experiment!""","""No""","""Yes""","""4.00""","""3"""
21,"""English""","""2""","""Male""","""24""","""""","""No""","""Yes""","""$4""","""3"""
22,"""English""","""1""","""Female""","""35""","""It was interesting. I reflexively hit the wrong button a couple of times.""","""No""","""Yes""","""4.00""","""3"""
23,"""english""","""1""","""Male""","""30""","""If you have more work, tell me but needs to pay more.""","""No""","""Yes""","""pay needs to be $10""","""2"""
24,"""english""","""2""","""Male""","""31""","""I didn&quotechart really know how to categorize &quotecharmany&quotechar because that could be relatively few still depending on perspective.""","""No""","""Yes""","""4.00""","""3"""
25,"""english""","""2""","""Male""","""64""","""fun to take and very good pay""","""No""","""Yes""","""yes""","""2"""
26,"""English""","""2""","""Male""","""33""","""""","""No""","""Yes""","""3.00""","""2"""
27,"""English""","""2""","""Male""","""30""","""Fun. Thanks. ""","""No""","""Yes""","""4.00""","""3"""
28,"""English, Spanish""","""1""","""Male""","""27""","""""","""Yes""","""Yes""","""4""","""1"""
29,"""English""","""2""","""Male""","""32""","""Fun!""","""No""","""Yes""","""4.00""","""3"""
30,"""English""","""2""","""Female""","""24""","""""","""No""","""Yes""","""4.99""","""3"""
