workerid,OS,screenH,screenW,Browser
0,"""Windows""",1080,1920,"""Chrome"""
1,"""Windows""",768,1366,"""Chrome"""
2,"""Windows""",1080,1920,"""Chrome"""
3,"""Windows""",1080,1920,"""Chrome"""
4,"""Windows""",576,1024,"""Firefox"""
5,"""Linux""",1080,1920,"""Firefox"""
6,"""Windows""",768,1366,"""Chrome"""
7,"""Windows""",1080,1920,"""Chrome"""
8,"""Windows""",900,1600,"""Chrome"""
9,"""Windows""",1080,1920,"""Chrome"""
10,"""Windows""",1080,1920,"""Chrome"""
11,"""Linux""",1080,1920,"""Chrome"""
12,"""Windows""",1080,1920,"""Chrome"""
13,"""Windows""",1440,2560,"""Chrome"""
14,"""Windows""",1080,1920,"""Chrome"""
15,"""Windows""",1080,1920,"""Chrome"""
16,"""Windows""",720,1280,"""Chrome"""
17,"""Windows""",720,1280,"""Chrome"""
18,"""Windows""",1080,1920,"""Chrome"""
19,"""Windows""",768,1366,"""Chrome"""
20,"""Mac""",900,1440,"""Chrome"""
21,"""Windows""",768,1366,"""Firefox"""
22,"""Mac""",800,1280,"""Chrome"""
23,"""Windows""",1080,1920,"""Chrome"""
24,"""Windows""",1080,1920,"""Chrome"""
25,"""Windows""",768,1366,"""Chrome"""
26,"""Windows""",1152,2048,"""Firefox"""
27,"""Windows""",1080,1920,"""Firefox"""
28,"""Windows""",768,1366,"""Chrome"""
29,"""Windows""",1050,1680,"""Chrome"""
30,"""Windows""",1080,1920,"""Chrome"""
31,"""Mac""",1080,1920,"""Chrome"""
32,"""Windows""",840,1344,"""Chrome"""
33,"""Windows""",1080,1920,"""Chrome"""
34,"""Mac""",1050,1680,"""Chrome"""
35,"""Windows""",1080,1920,"""Chrome"""
36,"""Windows""",1080,1920,"""Chrome"""
37,"""Windows""",1080,1920,"""Chrome"""
38,"""Windows""",1440,2560,"""Chrome"""
39,"""Linux""",864,1536,"""Chrome"""
40,"""Windows""",858,1525,"""Firefox"""
41,"""Windows""",1080,5760,"""Chrome"""
42,"""Windows""",720,1280,"""Chrome"""
43,"""Windows""",1080,1920,"""Firefox"""
44,"""Windows""",1080,1920,"""Chrome"""
45,"""Windows""",768,1366,"""Chrome"""
46,"""Windows""",768,1366,"""Chrome"""
47,"""Windows""",1050,1680,"""Chrome"""
48,"""Windows""",864,1536,"""Chrome"""
49,"""Mac""",1080,1920,"""Chrome"""
50,"""Windows""",1080,1920,"""Chrome"""
51,"""Windows""",1440,2560,"""Chrome"""
52,"""Windows""",1080,1920,"""Chrome"""
53,"""Windows""",1080,1920,"""Chrome"""
54,"""Windows""",768,1360,"""Chrome"""
55,"""Windows""",900,1600,"""Chrome"""
56,"""Windows""",1080,1920,"""Chrome"""
57,"""Windows""",768,1366,"""Chrome"""
58,"""Mac""",800,1280,"""Chrome"""
59,"""Windows""",1080,1920,"""Chrome"""
60,"""Mac""",1050,1680,"""Chrome"""
61,"""Windows""",1080,1920,"""Chrome"""
62,"""Windows""",1080,1920,"""Chrome"""
63,"""Windows""",1080,1920,"""Chrome"""
64,"""Windows""",1080,1920,"""Chrome"""
65,"""Mac""",1080,1920,"""Chrome"""
66,"""Windows""",1080,1920,"""Chrome"""
67,"""Windows""",768,1366,"""Chrome"""
68,"""Linux""",768,1366,"""Chrome"""
69,"""Windows""",1080,1920,"""Chrome"""
70,"""Windows""",864,1536,"""Chrome"""
71,"""Windows""",800,1280,"""Chrome"""
72,"""Windows""",768,1366,"""Chrome"""
73,"""Windows""",900,1440,"""Chrome"""
74,"""Windows""",768,1364,"""Chrome"""
75,"""Windows""",1080,1920,"""Chrome"""
76,"""Mac""",900,1440,"""Chrome"""
77,"""Mac""",900,1440,"""Chrome"""
78,"""Windows""",900,1600,"""Chrome"""
79,"""Mac""",1050,1680,"""Chrome"""
80,"""Windows""",1080,1920,"""Chrome"""
81,"""Windows""",990,1760,"""Firefox"""
82,"""Windows""",720,1280,"""Chrome"""
83,"""Windows""",1080,1920,"""Chrome"""
84,"""Linux""",768,1366,"""Chrome"""
85,"""Windows""",1080,1920,"""Chrome"""
86,"""Windows""",1050,1680,"""Chrome"""
87,"""Windows""",1080,1920,"""Chrome"""
88,"""Windows""",720,1280,"""Chrome"""
89,"""Windows""",768,1366,"""Chrome"""
