date,workerid,amount
Wed Nov 07 16:35:43 CET 2018,A39GADIK8RLMVC,4.0
Wed Nov 07 16:35:44 CET 2018,A366MTQY0JG0EM,4.0
Wed Nov 07 16:36:14 CET 2018,A1CSDIX05PK9V,4.0
Wed Nov 07 16:36:52 CET 2018,A27SMEOPKV84VI,4.0
Wed Nov 07 16:37:25 CET 2018,A2541C8MY0BYV3,4.0
Wed Nov 07 16:37:27 CET 2018,A204JAK7QRDWVM,4.0
Wed Nov 07 16:37:43 CET 2018,A1L3937MY09J3I,4.0
Wed Nov 07 16:38:17 CET 2018,A89R5XGMHOTJE,4.0
Wed Nov 07 16:38:37 CET 2018,A320QA9HJFUOZO,4.0
Wed Nov 07 16:38:40 CET 2018,A1IXH2QLUU5BKZ,4.0
Wed Nov 07 16:39:34 CET 2018,AZBH4LJ5SL456,4.0
Wed Nov 07 16:39:43 CET 2018,A18LPAFMK1B06K,4.0
Wed Nov 07 16:39:46 CET 2018,A3GQR89E66AQJY,4.0
Wed Nov 07 16:39:49 CET 2018,A34UER5ZQ5APMB,4.0
Wed Nov 07 16:39:52 CET 2018,A1ZD8RU6YB0VEU,4.0
Wed Nov 07 16:39:54 CET 2018,A1DS5O8MSI3ZH0,4.0
Wed Nov 07 16:39:56 CET 2018,A1BNR1ZAF1QGWG,4.0
Wed Nov 07 16:40:10 CET 2018,A10LLZZHZVGWRW,4.0
Wed Nov 07 16:40:20 CET 2018,A2YCMT5BPA0AG9,4.0
Wed Nov 07 16:40:59 CET 2018,A2M6URTK6WO6XJ,4.0
Wed Nov 07 16:41:20 CET 2018,A1TO8F0HIM1OBQ,4.0
Wed Nov 07 16:41:40 CET 2018,A272X64FOZFYLB,4.0
Wed Nov 07 16:41:49 CET 2018,A2FARB7LA24AU8,4.0
Wed Nov 07 16:42:26 CET 2018,A2TBXASXZIRNNW,4.0
Wed Nov 07 16:42:31 CET 2018,AR1IWBDA7MC86,4.0
Wed Nov 07 16:42:32 CET 2018,A1YBZWXXW358IF,4.0
Wed Nov 07 16:42:37 CET 2018,AIEKCWYZTS41V,4.0
Wed Nov 07 16:43:07 CET 2018,A9692Y27LBXT9,4.0
Wed Nov 07 16:43:20 CET 2018,A1G17IJC53N6K3,4.0
Wed Nov 07 16:43:22 CET 2018,A23EWFNNOUS10B,4.0
Wed Nov 07 16:43:32 CET 2018,APGX2WZ59OWDN,4.0
Wed Nov 07 16:43:34 CET 2018,A13N6TCI3RNIRC,4.0
Wed Nov 07 16:43:40 CET 2018,A2WU2OBJC98WQP,4.0
Wed Nov 07 16:44:16 CET 2018,A2C73Y1COWCA51,4.0
Wed Nov 07 16:45:14 CET 2018,A3O5EU9QQV2OS1,4.0
Wed Nov 07 16:45:25 CET 2018,A2WNVSJ1Y06SS1,4.0
Wed Nov 07 16:45:39 CET 2018,A28HB7240OFGEW,4.0
Wed Nov 07 16:45:52 CET 2018,A3U21PUMQ6NGT2,4.0
Wed Nov 07 16:46:00 CET 2018,A7KLTVEIASF4J,4.0
Wed Nov 07 16:46:34 CET 2018,AU849EHZNGV2Z,4.0
Wed Nov 07 16:46:49 CET 2018,A2ZJAEL03VTZ8,4.0
