date,workerid,amount
Tue Oct 02 23:23:16 CEST 2018,A16SAB417Y96G4,4.0
Tue Oct 02 23:25:57 CEST 2018,A28FMRMS9TMEOZ,4.0
Tue Oct 02 23:27:42 CEST 2018,A272X64FOZFYLB,4.0
Tue Oct 02 23:28:02 CEST 2018,AI6U09NVOZ62B,4.0
Tue Oct 02 23:28:06 CEST 2018,AAIQLE701DI9U,4.0
Tue Oct 02 23:28:38 CEST 2018,A17D6BK59S31BM,4.0
Tue Oct 02 23:28:46 CEST 2018,A1FP3SH704X01V,4.0
Tue Oct 02 23:28:55 CEST 2018,AAQREZOK13OV7,4.0
Tue Oct 02 23:28:57 CEST 2018,A2541C8MY0BYV3,4.0
Tue Oct 02 23:29:08 CEST 2018,A3GPTSDDHJ2DBV,4.0
Tue Oct 02 23:29:12 CEST 2018,A8VFIXE5FL8C6,4.0
Tue Oct 02 23:30:10 CEST 2018,AZBH4LJ5SL456,4.0
Tue Oct 02 23:30:59 CEST 2018,A1ZD8RU6YB0VEU,4.0
Tue Oct 02 23:31:17 CEST 2018,A27SMEOPKV84VI,4.0
Tue Oct 02 23:31:28 CEST 2018,A2W5RJFHZRE8IS,4.0
Tue Oct 02 23:32:04 CEST 2018,AEO84PDSWW0W,4.0
Tue Oct 02 23:32:14 CEST 2018,A19UBZFVUWL1ES,4.0
Tue Oct 02 23:32:23 CEST 2018,A9K0CV70JWG1W,4.0
Tue Oct 02 23:32:47 CEST 2018,A3PTO0DMF57GDG,4.0
Tue Oct 02 23:32:58 CEST 2018,A2LHA9ZHYTGWAE,4.0
Tue Oct 02 23:32:59 CEST 2018,AAURS65ZO4SXC,4.0
Tue Oct 02 23:33:28 CEST 2018,AOAZMLP27GD81,4.0
Tue Oct 02 23:33:50 CEST 2018,A1U5BE8XJRXKW3,4.0
Tue Oct 02 23:33:53 CEST 2018,A326O3VWP8TO8N,4.0
Tue Oct 02 23:34:30 CEST 2018,A2C73Y1COWCA51,4.0
Tue Oct 02 23:34:38 CEST 2018,A17MUXOICSH29I,4.0
Tue Oct 02 23:34:45 CEST 2018,A5NE8TWS8ZV7B,4.0
Tue Oct 02 23:34:56 CEST 2018,A3MHKFOJIXO7QN,4.0
Tue Oct 02 23:35:12 CEST 2018,A125KW9P18V5Z1,4.0
Tue Oct 02 23:35:12 CEST 2018,A23TGEQ4CG90PA,4.0
Tue Oct 02 23:35:18 CEST 2018,A52FUUEDGSZT9,4.0
Tue Oct 02 23:35:34 CEST 2018,A18SXC3JEN1O0U,4.0
Tue Oct 02 23:35:44 CEST 2018,A1CZP14HAXK16S,4.0
Tue Oct 02 23:36:00 CEST 2018,A204JAK7QRDWVM,4.0
Tue Oct 02 23:36:37 CEST 2018,A3LL096CAY5WHB,4.0
Tue Oct 02 23:36:41 CEST 2018,A183WYXN12P2TJ,4.0
Tue Oct 02 23:36:58 CEST 2018,A1P6OXEJ86HQRM,4.0
Tue Oct 02 23:37:17 CEST 2018,A11BSFO4LMHPXQ,4.0
Tue Oct 02 23:37:49 CEST 2018,A9A2IX3OBORBE,4.0
Tue Oct 02 23:38:11 CEST 2018,A4UIXESOEZI05,4.0
Tue Oct 02 23:38:16 CEST 2018,AZ8JL3QNIPY4U,4.0
Tue Oct 02 23:38:17 CEST 2018,AH00EJ6PK1H3A,4.0
Tue Oct 02 23:38:18 CEST 2018,A2EI075XZT9Y2S,4.0
Tue Oct 02 23:38:20 CEST 2018,A1Q5RFVJKMZBEN,4.0
Tue Oct 02 23:39:46 CEST 2018,AKZ8SFOAI4RZN,4.0
Tue Oct 02 23:40:13 CEST 2018,A2PXJTMWGUE5DC,4.0
Tue Oct 02 23:40:36 CEST 2018,A20SL254675EOK,4.0
Tue Oct 02 23:40:59 CEST 2018,A30RAYNDOWQ61S,4.0
Tue Oct 02 23:41:24 CEST 2018,A1WY3YGT618GC0,4.0
Tue Oct 02 23:41:27 CEST 2018,A2H6K1XIK4LY7O,4.0
Tue Oct 02 23:41:28 CEST 2018,A166A2M31CW2C7,4.0
Tue Oct 02 23:41:52 CEST 2018,APGX2WZ59OWDN,4.0
Tue Oct 02 23:41:55 CEST 2018,A3JLE2LJ5I17E2,4.0
Tue Oct 02 23:42:05 CEST 2018,A1PUHCEBSOWETV,4.0
Tue Oct 02 23:42:09 CEST 2018,A2HHFYI7FOLIXX,4.0
Tue Oct 02 23:42:28 CEST 2018,A31681CCEVDIH3,4.0
Tue Oct 02 23:42:56 CEST 2018,A2JP9IKRHNLRPI,4.0
Tue Oct 02 23:43:15 CEST 2018,A19L8SNH73AX1Z,4.0
Tue Oct 02 23:43:42 CEST 2018,A2VT0REE77ZI2I,4.0
Tue Oct 02 23:44:08 CEST 2018,A3VHDQR8A9JJ4F,4.0
Tue Oct 02 23:44:14 CEST 2018,A6JKKANO7F4KD,4.0
Tue Oct 02 23:45:16 CEST 2018,A3O5EU9QQV2OS1,4.0
Tue Oct 02 23:45:31 CEST 2018,A2HBE8H29IH1K0,4.0
Tue Oct 02 23:45:35 CEST 2018,AEWPAZBYA7XE,4.0
Tue Oct 02 23:45:35 CEST 2018,A27W025UEXS1G0,4.0
Tue Oct 02 23:46:03 CEST 2018,AOIR8V07FYMH5,4.0
Tue Oct 02 23:46:20 CEST 2018,A2581F7TDPAMBQ,4.0
Tue Oct 02 23:46:34 CEST 2018,A3UUH3632AI3ZX,4.0
Tue Oct 02 23:46:44 CEST 2018,A1KTPYX40PRLVW,4.0
Tue Oct 02 23:47:25 CEST 2018,ADKKDK6P4MS1Z,4.0
Tue Oct 02 23:48:09 CEST 2018,A3KCUB6P3IE8NL,4.0
Tue Oct 02 23:48:29 CEST 2018,A1V2H0UF94ATWY,4.0
Tue Oct 02 23:48:58 CEST 2018,A2J5N770I859WE,4.0
Tue Oct 02 23:50:51 CEST 2018,A342YLIMT6THWO,4.0
Tue Oct 02 23:53:02 CEST 2018,A1IXH2QLUU5BKZ,4.0
Tue Oct 02 23:54:35 CEST 2018,A25KM3PUOUZFN1,4.0
Tue Oct 02 23:58:36 CEST 2018,A1KEAHVVML6319,4.0
Wed Oct 03 00:00:21 CEST 2018,ARVXIBUCA8WDZ,4.0
Wed Oct 03 00:06:52 CEST 2018,A1ZVTAK0GLO959,4.0
Wed Oct 03 00:06:54 CEST 2018,A3EJ44J2ZNRMDA,4.0
Wed Oct 03 00:09:15 CEST 2018,A1RUURPQJ14A8X,4.0
Wed Oct 03 00:10:38 CEST 2018,A3E94ISE87Z8PL,4.0
Wed Oct 03 00:11:51 CEST 2018,A3RTXKL0EGLRDJ,4.0
Wed Oct 03 00:12:02 CEST 2018,A1UMTU09H1EVM9,4.0
Wed Oct 03 00:16:40 CEST 2018,AN098C29EGJ6,4.0
Wed Oct 03 00:19:31 CEST 2018,A3PO7SC3J7ANGX,4.0
Wed Oct 03 00:20:46 CEST 2018,A1SP3GBRZKMWZJ,4.0
Wed Oct 03 00:34:09 CEST 2018,ABL3H3O3BI8ZD,4.0
Wed Oct 03 00:39:36 CEST 2018,A1OZPLHNIU1519,4.0
Wed Oct 03 00:43:38 CEST 2018,A1FLNAFLLO3UPK,4.0
,total paid to workers:,=SUM(c2:c91)
,40% paid to Amazon:,=.4*c92
,total:,=SUM(c92:c93
