workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3VBEN272MK0WEFWZLW2DORWR2SQSGG""",0,"""Approved""","""Mon Jun 04 06:51:04 CEST 2018""","""Sun Jun 03 13:53:44 CEST 2018""","""Sun Jun 03 14:11:04 CEST 2018""","""Mon Jun 04 06:51:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""16.20465"""
1,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3R8YZBNQ9HJ1866L0P9ENE4XL1MQ7M""",1,"""Approved""","""Mon Jun 04 07:00:42 CEST 2018""","""Sun Jun 03 13:50:58 CEST 2018""","""Sun Jun 03 14:20:42 CEST 2018""","""Mon Jun 04 07:01:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""21.305633333333333"""
2,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3CPLWGV3MO0KJSHMZUFHXG0YBGNN98""",2,"""Approved""","""Mon Jun 04 07:05:33 CEST 2018""","""Sun Jun 03 13:50:57 CEST 2018""","""Sun Jun 03 14:25:33 CEST 2018""","""Mon Jun 04 07:05:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""14.41325"""
3,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""386CSBG1OZNI46SGHF4MH041QQ2Q6N""",3,"""Approved""","""Mon Jun 04 07:07:15 CEST 2018""","""Sun Jun 03 13:50:56 CEST 2018""","""Sun Jun 03 14:27:15 CEST 2018""","""Mon Jun 04 07:07:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""9.3645"""
4,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3YMTUJH0DSHHHZGUFV52P7VAE6WT4K""",4,"""Approved""","""Mon Jun 04 07:27:28 CEST 2018""","""Sun Jun 03 14:31:42 CEST 2018""","""Sun Jun 03 14:47:28 CEST 2018""","""Mon Jun 04 07:27:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""15.439283333333334"""
5,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3WOKGM4L71HK5JTL0DW1JUZAYM00OQ""",5,"""Approved""","""Mon Jun 04 07:36:18 CEST 2018""","""Sun Jun 03 14:31:42 CEST 2018""","""Sun Jun 03 14:56:18 CEST 2018""","""Mon Jun 04 07:36:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""24.1866"""
6,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3TDXMTX3CBV5N84X47ZD8YDFZGLI6C""",6,"""Approved""","""Mon Jun 04 07:38:58 CEST 2018""","""Sun Jun 03 14:31:31 CEST 2018""","""Sun Jun 03 14:58:58 CEST 2018""","""Mon Jun 04 07:39:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""25.5556"""
7,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OUYGIZWR7Z2QJ5MFD9G8U408RW0P7""",7,"""Approved""","""Mon Jun 04 07:40:23 CEST 2018""","""Sun Jun 03 14:31:53 CEST 2018""","""Sun Jun 03 15:00:23 CEST 2018""","""Mon Jun 04 07:40:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""19.939133333333334"""
8,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3ATPCQ38J8BS0AV5Y22SAR9PLIAYAP""",8,"""Approved""","""Mon Jun 04 07:41:46 CEST 2018""","""Sun Jun 03 14:31:53 CEST 2018""","""Sun Jun 03 15:01:46 CEST 2018""","""Mon Jun 04 07:42:42 CEST 2018""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""22.784766666666666"""
9,"""3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 03 13:50:51 CEST 2018""","""10""","""0""","""0""","""9""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Tue Jul 03 13:50:51 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3EGKVCRQFWTUW023EEXMGIX78QEBYI""","""3EQHHY4HQSTV8DYO90P5VGMZO8K5GT""",9,"""Submitted""","""Mon Jun 04 08:24:58 CEST 2018""","""Sun Jun 03 15:12:48 CEST 2018""","""Sun Jun 03 15:44:58 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""21.57875"""
