workerid,A,B,percent,read_time_two,quant,read_time_one,decision_time,response
0,"""dring""","""larfy""",28,143,"""None""",120,4843,"""True"""
0,"""klong""","""nooty""",62,400,"""All""",189,2880,"""True"""
0,"""blek""","""orkital""",54,156,"""None""",904,5836,"""True"""
0,"""floom""","""plerful""",92,105,"""Some""",76,698,"""True"""
0,"""slarm""","""briddle""",11,105,"""None""",119,504,"""False"""
0,"""tenk""","""glurgy""",8,80,"""All""",117,1048,"""True"""
0,"""glerb""","""fizzda""",20,74,"""All""",132,3008,"""False"""
0,"""thonk""","""krangly""",82,125,"""Some""",125,714,"""False"""
0,"""chevel""","""podden""",61,106,"""Many""",104,2526,"""True"""
0,"""kustle""","""reshix""",86,77,"""Most""",2705,2558,"""True"""
0,"""ingell""","""nalill""",75,144,"""Few""",88,1801,"""False"""
0,"""bemble""","""squank""",82,146,"""Most""",440,1687,"""False"""
0,"""awplor""","""fasees""",52,198,"""Fewer than half""",137,1759,"""False"""
0,"""pengyl""","""sedest""",34,608,"""Most""",2395,859,"""False"""
0,"""cather""","""funder""",16,199,"""Few""",1183,1137,"""False"""
0,"""coppar""","""hunene""",30,151,"""Few""",120,1024,"""False"""
0,"""mecket""","""plumry""",81,164,"""Many""",145,667,"""True"""
0,"""menner""","""nandow""",72,145,"""Few""",136,271,"""False"""
0,"""shurry""","""preser""",8,86,"""Most""",163,830,"""False"""
0,"""sporer""","""firtly""",11,117,"""Most""",175,1002,"""False"""
0,"""kustle""","""reshix""",7,121,"""Few""",187,1426,"""True"""
0,"""bameta""","""unzast""",96,177,"""Fewer than half""",202,1079,"""False"""
0,"""tiklet""","""hullaw""",61,103,"""Fewer than half""",138,1295,"""True"""
0,"""pobbit""","""spippy""",14,133,"""More than half""",144,835,"""False"""
0,"""beckel""","""racual""",62,137,"""Most""",196,3816,"""False"""
0,"""middor""","""drooty""",94,169,"""More than half""",194,555,"""True"""
0,"""chevel""","""podden""",36,260,"""Few""",136,258,"""False"""
0,"""monter""","""melelt""",54,105,"""Many""",183,2074,"""True"""
0,"""middor""","""drooty""",97,135,"""Most""",159,616,"""True"""
0,"""beckel""","""racual""",49,173,"""Fewer than half""",138,482,"""False"""
0,"""ingell""","""nalill""",86,137,"""Fewer than half""",134,464,"""True"""
0,"""hadder""","""ollidy""",2,178,"""More than half""",187,606,"""False"""
0,"""ingell""","""nalill""",27,118,"""More than half""",242,1225,"""False"""
0,"""puggle""","""entand""",20,81,"""Most""",170,696,"""False"""
0,"""pobbit""","""spippy""",34,123,"""Fewer than half""",104,1026,"""True"""
0,"""isbant""","""unairs""",76,101,"""More than half""",37,1133,"""True"""
0,"""padnet""","""fanely""",20,161,"""Most""",157,1342,"""False"""
0,"""cosutz""","""spover""",39,89,"""Most""",1020,2557,"""False"""
0,"""clidge""","""hensly""",77,112,"""More than half""",176,707,"""True"""
