date,workerid,amount
Sun Jun 03 14:11:04 CEST 2018,A1JQ4KBFW7U3N1,4.0
Sun Jun 03 14:20:42 CEST 2018,A1DNJ17PE2RYJZ,4.0
Sun Jun 03 14:25:33 CEST 2018,A3J5UWZM4ZZ1D6,4.0
Sun Jun 03 14:27:15 CEST 2018,A1ZT30BGR3266K,4.0
Sun Jun 03 14:47:28 CEST 2018,A2IQ0QCTQ3KWLT,4.0
Sun Jun 03 14:56:18 CEST 2018,A30VLAIIJIG5IS,4.0
Sun Jun 03 14:58:58 CEST 2018,A2QSKK3UORCGNY,4.0
Sun Jun 03 15:00:23 CEST 2018,A5NHP0N1XC09K,4.0
Sun Jun 03 15:01:46 CEST 2018,AOWW3URQNRJ6U,4.0
Sun Jun 03 15:44:58 CEST 2018,A31XNLA9REVGXL,4.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
