workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""english""","""1""","""Female""","""25""","""""","""No""","""Yes""","""4""","""3"""
1,"""english""","""1""","""Male""","""25""","""""","""No""","""Yes""","""5.00""","""3"""
2,"""English""","""2""","""Male""","""39""","""""","""Yes""","""Yes""","""4.00""","""2"""
3,"""english""","""2""","""Male""","""27""","""""","""No""","""Yes""","""5.00""","""3"""
4,"""English""","""2""","""Male""","""38""","""""","""No""","""Yes""","""yes""","""3"""
5,"""English""","""1""","""Male""","""38""","""""","""Yes""","""Yes""","""4.00""","""1"""
6,"""English""","""2""","""Male""","""45""","""This was a good HIT. Thank you.""","""No""","""Yes""","""4.00""","""1"""
7,"""english""","""2""","""Female""","""30""","""Fun, but format takes a while to get used to. ""","""No""","""Yes""","""4.00""","""3"""
8,"""English""","""2""","""Male""","""32""","""fun HIT""","""No""","""Yes""","""4.00""","""2"""
9,"""english""","""2""","""Female""","""29""","""""","""No""","""No""","""4.00""","""2"""
