workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""31JLPPHS2UVGMBSIJ0EKLSXH4E8O3W""",0,"""Approved""","""Mon Jun 18 04:20:05 CEST 2018""","""Sun Jun 17 11:28:28 CEST 2018""","""Sun Jun 17 11:40:05 CEST 2018""","""Sun Jun 17 12:25:27 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""11.420283333333334"""
1,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3R9WASFE2ZHN1RMI54Q32ZTIR8GFZY""",1,"""Approved""","""Mon Jun 18 04:20:31 CEST 2018""","""Sun Jun 17 11:28:33 CEST 2018""","""Sun Jun 17 11:40:31 CEST 2018""","""Sun Jun 17 12:25:27 CEST 2018""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""11.696483333333333"""
2,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3SITXWYCNVA8JFANZKGMMOMM4AQBXF""",2,"""Approved""","""Mon Jun 18 04:20:32 CEST 2018""","""Sun Jun 17 11:29:05 CEST 2018""","""Sun Jun 17 11:40:32 CEST 2018""","""Sun Jun 17 12:25:28 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""11.421483333333333"""
3,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3EQHHY4HQSTV8DYO90P5VGMZRO8G5R""",3,"""Approved""","""Mon Jun 18 04:20:32 CEST 2018""","""Sun Jun 17 11:30:53 CEST 2018""","""Sun Jun 17 11:40:32 CEST 2018""","""Sun Jun 17 12:25:29 CEST 2018""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""9.375533333333333"""
4,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3AMYWKA6YBNFJUF022CISV91E5A6OK""",4,"""Approved""","""Mon Jun 18 04:21:15 CEST 2018""","""Sun Jun 17 11:28:50 CEST 2018""","""Sun Jun 17 11:41:15 CEST 2018""","""Sun Jun 17 12:25:29 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.362016666666667"""
5,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""35USIKEBNRHX19FO1NC5D69WOV56N5""",5,"""Approved""","""Mon Jun 18 04:22:04 CEST 2018""","""Sun Jun 17 11:29:08 CEST 2018""","""Sun Jun 17 11:42:04 CEST 2018""","""Sun Jun 17 12:25:30 CEST 2018""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""12.9014"""
6,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""37WLF8U1WPRWT3UL4AKPLESSU006K0""",6,"""Approved""","""Mon Jun 18 04:22:50 CEST 2018""","""Sun Jun 17 11:28:21 CEST 2018""","""Sun Jun 17 11:42:50 CEST 2018""","""Sun Jun 17 12:25:31 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""14.38285"""
7,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3G0WWMR1UVLQBRY8GWQ3JBQNOWHQNM""",7,"""Approved""","""Mon Jun 18 04:23:10 CEST 2018""","""Sun Jun 17 11:29:23 CEST 2018""","""Sun Jun 17 11:43:10 CEST 2018""","""Sun Jun 17 12:25:31 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""13.730333333333334"""
8,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3KWTYT08704BU5CPKRML88R7N5UL52""",8,"""Approved""","""Mon Jun 18 04:23:20 CEST 2018""","""Sun Jun 17 11:28:33 CEST 2018""","""Sun Jun 17 11:43:20 CEST 2018""","""Sun Jun 17 12:25:32 CEST 2018""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""11.926416666666666"""
9,"""3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Sun Jun 17 11:28:01 CEST 2018""","""90""","""1""","""0""","""89""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Sun Jun 17 12:24:07 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LXX8KJXPWAZETJ4A7ASNL4F7R6O9R""","""3S4AW7T80BJTYM8P6M3B3GLTN9ZL4X""",9,"""Approved""","""Mon Jun 18 04:23:27 CEST 2018""","""Sun Jun 17 11:28:30 CEST 2018""","""Sun Jun 17 11:43:27 CEST 2018""","""Sun Jun 17 12:25:33 CEST 2018""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""14.891516666666666"""
