workerid,A,B,percent,read_and_decide_time,quant,read_time_one,response
0,"""glerb""","""fizzda""",20,1702,"""All""",93,false
0,"""thonk""","""krangly""",82,1780,"""Some""",1067,true
0,"""slarm""","""briddle""",11,2414,"""None""",611,true
0,"""klong""","""nooty""",62,2468,"""All""",170,false
0,"""dring""","""larfy""",28,1488,"""None""",474,false
0,"""floom""","""plerful""",92,1176,"""Some""",104,true
0,"""blek""","""orkital""",54,829,"""None""",505,false
0,"""tenk""","""glurgy""",8,934,"""All""",152,false
0,"""pirter""","""secent""",34,722,"""More than half""",573,false
0,"""beckel""","""racual""",42,1172,"""Fewer than half""",891,false
0,"""shurry""","""preser""",14,919,"""Many""",564,false
0,"""shrile""","""athoid""",51,562,"""Most""",636,true
0,"""boddle""","""molill""",37,1233,"""Few""",1547,true
0,"""puctor""","""recure""",48,908,"""More than half""",234,true
0,"""ingell""","""nalill""",99,1091,"""Few""",207,false
0,"""coamin""","""mucond""",75,614,"""Few""",424,false
0,"""raster""","""movell""",16,761,"""Many""",184,false
0,"""monter""","""melelt""",71,854,"""Most""",126,true
0,"""kustle""","""reshix""",95,1073,"""Most""",602,true
0,"""pliper""","""sesare""",99,484,"""Few""",534,false
0,"""bemble""","""squank""",30,807,"""Most""",589,false
0,"""dorder""","""coggon""",63,505,"""Few""",635,true
0,"""spunge""","""wenple""",22,873,"""Fewer than half""",563,true
0,"""chulks""","""vulhor""",23,1208,"""Few""",148,true
0,"""isbant""","""unairs""",9,809,"""Few""",517,true
0,"""zetten""","""unfobs""",70,2249,"""Most""",510,false
0,"""coppar""","""hunene""",42,542,"""More than half""",461,false
0,"""raster""","""movell""",33,783,"""Few""",515,false
0,"""sporer""","""firtly""",6,2221,"""Most""",603,false
0,"""fleeve""","""scalfs""",89,1547,"""Most""",683,true
0,"""gukbar""","""soarse""",81,530,"""More than half""",752,true
0,"""jallem""","""sildal""",29,609,"""Most""",616,false
0,"""spunge""","""wenple""",84,522,"""Few""",394,false
0,"""schook""","""jabant""",55,502,"""More than half""",462,true
0,"""cather""","""funder""",6,768,"""Few""",987,false
0,"""shamer""","""bloifs""",57,490,"""Most""",607,true
0,"""shamer""","""bloifs""",4,570,"""Fewer than half""",717,false
0,"""dorder""","""coggon""",30,598,"""More than half""",799,false
0,"""jallem""","""sildal""",32,1490,"""Fewer than half""",899,true
0,"""cosutz""","""spover""",53,860,"""Most""",535,false
0,"""bemble""","""squank""",78,880,"""Fewer than half""",491,false
0,"""puggle""","""entand""",27,1114,"""Fewer than half""",667,false
0,"""monter""","""melelt""",92,857,"""Fewer than half""",505,false
0,"""chulks""","""vulhor""",17,643,"""Many""",185,false
0,"""birler""","""enciad""",28,999,"""More than half""",831,true
0,"""ingell""","""nalill""",27,664,"""Fewer than half""",579,false
0,"""beckel""","""racual""",23,993,"""Many""",604,true
0,"""raster""","""movell""",97,604,"""Fewer than half""",612,false
0,"""umpond""","""marire""",10,554,"""Most""",687,false
0,"""spunge""","""wenple""",64,496,"""More than half""",586,true
0,"""middor""","""drooty""",46,947,"""Few""",603,true
0,"""middor""","""drooty""",74,535,"""Most""",522,true
0,"""boddle""","""molill""",2,580,"""Most""",585,false
0,"""puggle""","""entand""",52,598,"""Most""",509,true
0,"""pengyl""","""sedest""",78,477,"""Most""",435,true
0,"""cather""","""funder""",26,2182,"""Most""",1047,false
0,"""ingell""","""nalill""",5,527,"""Most""",475,false
0,"""cosutz""","""spover""",75,487,"""More than half""",758,true
0,"""chevel""","""podden""",72,771,"""Fewer than half""",522,false
0,"""pluset""","""stubad""",6,530,"""More than half""",613,false
0,"""hadder""","""ollidy""",91,669,"""Most""",543,true
0,"""coppar""","""hunene""",18,1064,"""Most""",537,false
0,"""chulks""","""vulhor""",69,3925,"""Most""",1268,true
0,"""birler""","""enciad""",23,4381,"""Few""",844,false
0,"""pliper""","""sesare""",25,1032,"""Many""",599,false
0,"""tecker""","""biller""",35,1011,"""Most""",666,false
0,"""ancits""","""smeath""",80,598,"""Most""",560,true
0,"""padnet""","""fanely""",8,699,"""Many""",524,false
0,"""bemble""","""squank""",7,729,"""Many""",429,false
0,"""menner""","""nandow""",23,454,"""Most""",548,false
0,"""dorder""","""coggon""",74,577,"""Many""",662,true
0,"""clidge""","""hensly""",56,570,"""Few""",604,false
0,"""chulks""","""vulhor""",66,548,"""More than half""",632,true
0,"""schook""","""jabant""",73,501,"""Most""",611,true
0,"""russer""","""huttle""",6,552,"""Many""",610,false
0,"""pengyl""","""sedest""",66,914,"""Many""",556,true
0,"""umpond""","""marire""",62,804,"""Fewer than half""",700,false
0,"""ancits""","""smeath""",38,634,"""Many""",657,false
0,"""cosutz""","""spover""",97,634,"""Few""",858,true
0,"""pengyl""","""sedest""",49,632,"""Fewer than half""",565,false
0,"""chadop""","""shaple""",52,429,"""More than half""",565,true
0,"""padnet""","""fanely""",11,753,"""More than half""",624,false
0,"""ingell""","""nalill""",10,657,"""More than half""",930,false
0,"""chadop""","""shaple""",2,419,"""Few""",1312,true
0,"""tecker""","""biller""",35,503,"""More than half""",634,false
0,"""pengyl""","""sedest""",8,1619,"""Few""",832,true
0,"""ingell""","""nalill""",82,714,"""Many""",519,true
0,"""dorder""","""coggon""",62,1067,"""Fewer than half""",878,false
0,"""russer""","""huttle""",88,691,"""Few""",519,false
0,"""puctor""","""recure""",22,1057,"""Most""",966,false
0,"""gukbar""","""soarse""",48,1509,"""Fewer than half""",689,true
0,"""sporer""","""firtly""",67,574,"""Fewer than half""",950,false
0,"""werner""","""hurmer""",88,628,"""Most""",698,true
0,"""puggle""","""entand""",23,814,"""Few""",645,true
0,"""bameta""","""unzast""",75,549,"""Few""",545,false
0,"""russer""","""huttle""",11,602,"""Most""",694,false
0,"""strant""","""potind""",59,554,"""More than half""",461,true
0,"""werner""","""hurmer""",8,818,"""Fewer than half""",463,true
0,"""fleeve""","""scalfs""",82,575,"""More than half""",547,true
0,"""ancits""","""smeath""",83,443,"""More than half""",722,true
0,"""shrile""","""athoid""",56,863,"""Fewer than half""",750,false
0,"""strant""","""potind""",95,597,"""Many""",772,true
0,"""tiklet""","""hullaw""",52,817,"""Fewer than half""",693,false
0,"""pirter""","""secent""",66,820,"""Few""",971,false
0,"""hadder""","""ollidy""",39,571,"""Few""",783,true
0,"""monter""","""melelt""",31,414,"""Few""",639,true
0,"""kustle""","""reshix""",63,719,"""Fewer than half""",868,false
0,"""pengyl""","""sedest""",58,1854,"""More than half""",815,true
0,"""chevel""","""podden""",43,713,"""More than half""",625,false
0,"""sporer""","""firtly""",87,611,"""Few""",638,false
0,"""beckel""","""racual""",99,448,"""Few""",633,false
0,"""coppar""","""hunene""",24,498,"""Few""",844,true
0,"""gukbar""","""soarse""",26,451,"""Few""",629,true
0,"""jallem""","""sildal""",59,471,"""Many""",672,true
0,"""russer""","""huttle""",67,732,"""Fewer than half""",1058,false
0,"""chevel""","""podden""",16,493,"""Most""",656,false
0,"""sporer""","""firtly""",44,791,"""Many""",727,false
0,"""dorder""","""coggon""",31,490,"""Most""",540,false
0,"""awplor""","""fasees""",4,867,"""Fewer than half""",750,true
0,"""chulks""","""vulhor""",10,857,"""Fewer than half""",761,true
0,"""sporer""","""firtly""",49,967,"""More than half""",566,false
0,"""ancits""","""smeath""",90,487,"""Fewer than half""",780,true
0,"""spunge""","""wenple""",11,1109,"""Many""",1053,false
0,"""menner""","""nandow""",37,777,"""More than half""",635,false
0,"""awplor""","""fasees""",36,548,"""Most""",743,false
0,"""pliper""","""sesare""",40,463,"""Most""",629,false
0,"""cosutz""","""spover""",9,622,"""Many""",624,false
0,"""boddle""","""molill""",58,655,"""Fewer than half""",828,false
0,"""fleeve""","""scalfs""",93,577,"""Many""",781,true
