workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""English""","""2""","""Male""","""21""","""""","""No""","""Yes""","""yes""","""2"""
1,"""English""","""2""","""Male""","""33""","""""","""No""","""Yes""","""4""","""3"""
2,"""English""","""1""","""Male""","""27""","""Every problem with \""few\"" as the operative word gave \""undefined\"" for the %. I hit false. Otherwise, the hit functioned correctly.""","""No""","""Yes""","""4.00""","""3"""
3,"""English""","""2""","""Male""","""25""","""Thank you and good luck""","""No""","""No""","""5""","""3"""
4,"""English""","""2""","""Male""","""27""","""The sentences that contained the word \""few\"" did not show a number in the following sentence. It would show as \""undefined.\""""","""Yes""","""Yes""","""Yes, I do believe that it is a fair price.""","""3"""
5,"""English""","""1""","""Male""","""25""","""""","""No""","""Yes""","""$4""","""1"""
6,"""english""","""1""","""Male""","""34""","""kind of fun""","""No""","""Yes""","""yes""","""3"""
7,"""English""","""1""","""Female""","""23""","""There were a few errors in question formatting, but most questions were fine.""","""No""","""Yes""","""5.00""","""3"""
8,"""english""","""2""","""Male""","""28""","""I enjoyed it""","""No""","""Yes""","""4.00""","""2"""
9,"""English""","""2""","""Male""","""29""","""I thought it was a really interesting HIT.  I really started to get the hang of it about twenty percent of the way through the HIT.  My mind was locked on the false, since there were so many that were false.  I was trying to go quick, like the instructions said, but I really enjoyed it.  I felt it was like a game, and I would be interested in performing more of these tasks if you need more help!  Best of luck!""","""No""","""Yes""","""4.00""","""4"""
10,"""English""","""2""","""Female""","""40""","""It took me a few minutes to actually start to get what the hit was doing.  I&quotecharm not sure if I did it correctly, but I think I started to get the hang of it.""","""No""","""Yes""","""4.00""","""2"""
11,"""ENGLISH""","""2""","""Male""","""28""","""GOOD  THANKS.  THIS  HIT  IS  VERY  ENJOYFUL""","""Yes""","""Yes""","""NO""","""4"""
12,"""Englosh""","""2""","""Male""","""70""","""""","""No""","""Confused""","""4""","""3"""
13,"""English""","""2""","""Female""","""43""","""I would be interested in taking more surveys from you, good price, easy instructions and no issues with technical aspects of survey.""","""Yes""","""Yes""","""4.00""","""2"""
14,"""ENGLISH""","""1""","""Female""","""26""","""""","""No""","""Yes""","""NO""","""2"""
15,"""english""","""2""","""Male""","""26""","""It was really fun.  i messed up on some :/""","""No""","""Yes""","""4""","""2"""
16,"""English""","""2""","""Male""","""21""","""It was interesting how the HIT tricked me sometimes by using the same words in a different phrase. ""","""No""","""Yes""","""$4""","""2"""
17,"""english""","""1""","""Male""","""26""","""I got a few of them wrong in the beginning because when I think of the left arrow key, I think of correct, so I was pressing right when I meant left. Also, a good but of them showed %undefined. Not sure if that was on purpose.""","""No""","""Yes""","""4""","""3"""
18,"""english""","""2""","""Male""","""35""","""none""","""No""","""Yes""","""yes""","""1"""
19,"""english""","""2""","""Female""","""25""","""""","""No""","""No""","""5.00""","""2"""
20,"""English""","""2""","""Male""","""35""","""Some of the \""Few\"" ones showed \""undefined%\"" on the percentages so I had to guess on those.  There were also a couple that I got wrong.""","""No""","""Yes""","""4.00""","""2"""
21,"""English; Spanish""","""-1""","""Female""","""46""","""""",NA,NA,"""""","""3"""
22,"""English""","""2""","""Female""","""33""","""None""","""No""","""Yes""","""4.00""","""3"""
23,"""English""","""2""","""Male""","""36""","""I really liked the hit as it as different than other hits I was used to.  You could really get in a groove with it.  I also liked how I was able to learn that my brain can pick up on words really fast and translate them into answers that you were looking for.""","""No""","""Yes""","""5.00""","""1"""
24,"""english""","""2""","""Male""","""34""","""""","""No""","""Yes""","""4.00""","""1"""
25,"""English""","""1""","""Male""","""29""","""n/a""","""No""","""Yes""","""yes""","""3"""
26,"""English""","""2""","""Male""","""39""","""Very good survey ""","""Yes""","""Yes""","""Yes""","""3"""
