workerid,OS,screenH,screenW,Browser
0,"""Windows""",768,1366,"""Chrome"""
1,"""Windows""",720,1280,"""Chrome"""
2,"""Windows""",1080,1920,"""Chrome"""
3,"""Windows""",864,1536,"""Chrome"""
4,"""Windows""",1200,1920,"""Firefox"""
5,"""Windows""",1440,3440,"""Chrome"""
6,"""Windows""",900,1600,"""Chrome"""
7,"""Windows""",864,1536,"""Chrome"""
8,"""Windows""",1080,1920,"""Chrome"""
9,"""Mac""",800,1280,"""Chrome"""
10,"""Windows""",768,1366,"""Chrome"""
11,"""Windows""",768,1364,"""Chrome"""
12,"""Windows""",768,1366,"""Chrome"""
13,"""Windows""",800,1280,"""Chrome"""
14,"""Windows""",864,1536,"""Chrome"""
15,"""Windows""",1080,1920,"""Chrome"""
16,"""Windows""",1080,1920,"""Chrome"""
17,"""Windows""",864,1536,"""Chrome"""
18,"""Windows""",1080,1920,"""Chrome"""
19,"""Linux""",768,1366,"""Chrome"""
20,"""Windows""",1080,1920,"""Firefox"""
21,"""Windows""",858,1525,"""Firefox"""
22,"""Windows""",768,1366,"""Chrome"""
23,"""Windows""",900,1440,"""Chrome"""
24,"""Windows""",1024,1280,"""Chrome"""
25,"""Windows""",1152,2048,"""Chrome"""
26,"""Windows""",768,1366,"""Chrome"""
27,"""Windows""",1080,1920,"""Chrome"""
28,"""Windows""",640,1138,"""Firefox"""
29,"""Mac""",800,1280,"""Chrome"""
30,"""Windows""",768,1366,"""Chrome"""
31,"""Windows""",768,1366,"""Chrome"""
32,"""Mac""",800,1280,"""Firefox"""
33,"""Windows""",900,1440,"""Chrome"""
34,"""Windows""",922,1639,"""Firefox"""
35,"""Windows""",768,1366,"""Chrome"""
36,"""Linux""",1173,1876,"""Firefox"""
37,"""Windows""",768,1366,"""Chrome"""
38,"""Windows""",768,1366,"""Chrome"""
39,"""Windows""",864,1536,"""Chrome"""
40,"""Windows""",768,1366,"""Firefox"""
41,"""Windows""",1024,1280,"""Chrome"""
42,"""Windows""",864,1536,"""Chrome"""
43,"""Mac""",900,1440,"""Chrome"""
44,"""Windows""",1080,1920,"""Chrome"""
45,"""Windows""",900,1600,"""Chrome"""
46,"""Windows""",768,1366,"""Chrome"""
47,"""Windows""",800,1280,"""Chrome"""
48,"""Linux""",640,360,"""Chrome"""
49,"""Windows""",768,1366,"""Chrome"""
50,"""Windows""",1080,1920,"""Firefox"""
51,"""Mac""",900,1440,"""Safari"""
52,"""Windows""",768,1366,"""Chrome"""
53,"""Mac""",800,1280,"""Safari"""
54,"""Windows""",900,1600,"""Chrome"""
55,"""Windows""",864,1536,"""Chrome"""
56,"""Windows""",768,1366,"""Chrome"""
57,"""Windows""",1080,1920,"""Chrome"""
58,"""Windows""",1024,1280,"""Chrome"""
59,"""Windows""",864,1536,"""Chrome"""
60,"""Mac""",1024,1280,"""Chrome"""
61,"""Linux""",768,1366,"""Chrome"""
62,"""Linux""",1080,1920,"""Chrome"""
63,"""Mac""",800,1280,"""Chrome"""
64,"""Windows""",768,1366,"""Firefox"""
65,"""Windows""",1080,1920,"""Chrome"""
66,"""Linux""",768,1366,"""Chrome"""
67,"""Windows""",1080,1920,"""Chrome"""
68,"""Windows""",768,1366,"""Chrome"""
69,"""Windows""",720,1280,"""Chrome"""
70,"""Windows""",1024,1280,"""Chrome"""
71,"""Windows""",768,1364,"""Chrome"""
72,"""Mac""",900,1440,"""Safari"""
73,"""Windows""",864,1536,"""Chrome"""
74,"""Windows""",900,1600,"""Chrome"""
75,"""Windows""",768,1364,"""Chrome"""
76,"""Windows""",768,1366,"""Chrome"""
77,"""Windows""",1080,1920,"""Chrome"""
78,"""Windows""",1080,1920,"""Chrome"""
79,"""Windows""",1080,1920,"""Chrome"""
80,"""Windows""",1080,1920,"""Chrome"""
81,"""Mac""",900,1440,"""Chrome"""
82,"""Windows""",720,1152,"""Chrome"""
83,"""Windows""",768,1366,"""Chrome"""
84,"""Windows""",768,1366,"""Chrome"""
85,"""Windows""",1080,1920,"""Chrome"""
86,"""Windows""",864,1536,"""Chrome"""
87,"""Windows""",768,1366,"""Chrome"""
88,"""Windows""",1024,1280,"""Chrome"""
