workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""English""","""2""","""Male""","""28""","""It was difficult to do it fast. My mind kept getting confused and there were quite a few times I would give on answer only to cringe an realize I meant the opposite. It was interesting, however, and well paying.""","""No""","""Yes""","""$3""","""1"""
1,"""English""","""1""","""Male""","""41""","""""","""No""","""Yes""","""4""","""2"""
2,"""english""","""1""","""Male""","""30""","""n/a""","""No""","""Yes""","""5.00""","""1"""
3,"""English""","""1""","""Male""","""35""","""No further relevant comment, at this time.""","""Yes""","""Yes""","""4.00""","""2"""
4,"""ENGLISH""","""2""","""Male""","""27""","""VERY NICE""","""Yes""","""Confused""","""4""","""3"""
5,"""english""","""2""","""Female""","""36""","""""","""Yes""","""Yes""","""6.00""","""3"""
6,"""ENGLISH""","""2""","""Female""","""28""","""VERY NICE""","""Yes""","""Yes""","""4.00""","""3"""
7,"""ENGLISH""","""1""","""Female""","""27""","""VERY NICE""","""Yes""","""Confused""","""4""","""3"""
8,"""English""","""2""","""Male""","""34""","""Interesting to do.""","""Yes""","""Yes""","""8""","""3"""
9,"""English""","""1""","""Male""","""26""","""Good study""","""No""","""Confused""","""30""","""3"""
