date,workerid,amount
Tue Oct 23 10:15:24 CEST 2018,AK47FLPTKZR5G,4.0
Tue Oct 23 10:17:20 CEST 2018,A1IJ86B8ZRKXBI,4.0
Tue Oct 23 10:22:06 CEST 2018,A2OO4PG3LBLP5I,4.0
Tue Oct 23 10:58:11 CEST 2018,A2F2DDH12YU4AK,4.0
Tue Oct 23 11:06:20 CEST 2018,A88WOYAPHCFND,4.0
Tue Oct 23 11:06:48 CEST 2018,A1C7XI68SED8JE,4.0
Tue Oct 23 11:07:55 CEST 2018,A21XVZ0Q2DJKEN,4.0
Tue Oct 23 11:09:23 CEST 2018,A1BOAWME35ICSQ,4.0
Tue Oct 23 11:22:57 CEST 2018,A3B1786VLGTV7U,4.0
Tue Oct 23 11:23:52 CEST 2018,A3J3VUZVBLE54H,4.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
