workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3X73LLYYQ1FDYYZ5X639AXYNPHCHNI""",0,"""Submitted""","""Wed Oct 03 17:49:43 CEST 2018""","""Wed Oct 03 00:47:23 CEST 2018""","""Wed Oct 03 01:09:43 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""14.188083333333333"""
1,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3A4NIXBJ76092CXVCQ37PA2U19ILM2""",1,"""Submitted""","""Wed Oct 03 17:51:16 CEST 2018""","""Wed Oct 03 00:58:37 CEST 2018""","""Wed Oct 03 01:11:16 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""11.979516666666667"""
2,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3SITXWYCNVA8JFANZKGMMOMNWIHBXG""",2,"""Submitted""","""Wed Oct 03 17:58:42 CEST 2018""","""Wed Oct 03 00:47:23 CEST 2018""","""Wed Oct 03 01:18:42 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""27.221"""
3,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""382M9COHEHGE9ESC467P3PT45XDEUR""",3,"""Submitted""","""Wed Oct 03 17:59:56 CEST 2018""","""Wed Oct 03 00:50:19 CEST 2018""","""Wed Oct 03 01:19:56 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""21.50605"""
4,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""320DUZ38G7N3FCD9Y2TZWQ551XWGJG""",4,"""Submitted""","""Wed Oct 03 18:05:55 CEST 2018""","""Wed Oct 03 00:50:19 CEST 2018""","""Wed Oct 03 01:25:55 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""33.2521"""
5,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3VD82FOHKQP4ZBO1CTPLEV1C2ZCOCV""",5,"""Submitted""","""Wed Oct 03 18:43:13 CEST 2018""","""Wed Oct 03 01:33:06 CEST 2018""","""Wed Oct 03 02:03:13 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""29.7492"""
6,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3TY7ZAOG5FL1FS862L48CDI296ZK0A""",6,"""Submitted""","""Wed Oct 03 18:47:29 CEST 2018""","""Wed Oct 03 01:34:49 CEST 2018""","""Wed Oct 03 02:07:29 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""31.04681666666667"""
7,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3LS2AMNW5FR8TCYKHBQGY0QT6EDQO2""",7,"""Submitted""","""Wed Oct 03 18:47:39 CEST 2018""","""Wed Oct 03 01:32:45 CEST 2018""","""Wed Oct 03 02:07:39 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""27.90375"""
8,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3WR9XG3T63CUJ1JN2S21KB3TKXL74B""",8,"""Submitted""","""Wed Oct 03 19:24:35 CEST 2018""","""Wed Oct 03 02:30:03 CEST 2018""","""Wed Oct 03 02:44:35 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""14.113066666666667"""
9,"""3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 00:47:10 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Thu Nov 01 23:47:10 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6U6NGNASOWQBPFUAQXVDZE""","""3Z9WI9EOZZPCQSE20TBTI5HJVM7HKD""",9,"""Submitted""","""Wed Oct 03 19:37:01 CEST 2018""","""Wed Oct 03 02:13:43 CEST 2018""","""Wed Oct 03 02:57:01 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""18.0925"""
