workerid,color,proportion,read_and_decide_time,quant,read_time_one,response,side
0,"""blue""","""b7_y8""",4137,"""All""",1960,false,9
0,"""yellow""","""b24_y20""",1119,"""Some""",1176,true,9
0,"""blue""","""b12_y16""",1455,"""None""",153,false,8
0,"""yellow""","""b18_y16""",1065,"""An even number""",112,false,8
0,"""blue""","""b15_y30""",1920,"""At least ten""",623,true,9
0,"""yellow""","""b6_y9""",1209,"""Some""",919,false,8
0,"""blue""","""b5_y10""",1113,"""More""",112,true,9
0,"""blue""","""b6_y5""",1976,"""Fewer than half""",520,true,7
0,"""yellow""","""b5_y6""",1016,"""Many""",120,true,3
0,"""yellow""","""b24_y27""",1648,"""Most""",95,true,5
0,"""blue""","""b10_y20""",1770,"""Most""",488,false,2
0,"""blue""","""b10_y20""",1511,"""Most""",120,false,5
0,"""yellow""","""b6_y9""",785,"""More""",143,true,3
0,"""blue""","""b8_y7""",769,"""More than half""",144,false,1
0,"""blue""","""b16_y12""",1409,"""More""",919,true,7
0,"""yellow""","""b15_y18""",1017,"""Fewer than half""",102,false,6
0,"""yellow""","""b9_y8""",568,"""Few""",111,true,0
0,"""blue""","""b18_y12""",592,"""Many""",600,false,1
0,"""blue""","""b24_y27""",1088,"""More than half""",103,true,0
0,"""blue""","""b5_y6""",736,"""More than half""",136,false,5
0,"""yellow""","""b10_y5""",753,"""Most""",120,true,0
0,"""yellow""","""b24_y20""",665,"""Many""",432,false,4
0,"""yellow""","""b27_y18""",256,"""Many""",96,true,8
0,"""yellow""","""b8_y6""",464,"""Fewer than half""",112,true,8
0,"""yellow""","""b15_y30""",1056,"""More""",80,true,0
0,"""yellow""","""b30_y15""",1384,"""Most""",383,true,3
0,"""blue""","""b18_y12""",800,"""More""",480,true,2
0,"""yellow""","""b27_y24""",664,"""Few""",104,true,0
0,"""blue""","""b8_y6""",704,"""More""",97,true,0
0,"""yellow""","""b27_y24""",712,"""Fewer than half""",503,true,4
0,"""yellow""","""b15_y18""",929,"""Few""",127,true,5
0,"""blue""","""b15_y30""",600,"""Most""",135,true,9
0,"""blue""","""b8_y9""",1328,"""Few""",126,false,6
0,"""yellow""","""b10_y5""",657,"""Many""",135,true,6
0,"""yellow""","""b6_y9""",1087,"""Fewer than half""",144,false,5
0,"""blue""","""b27_y18""",1145,"""Few""",649,false,0
0,"""blue""","""b18_y27""",624,"""More than half""",89,true,9
0,"""yellow""","""b18_y15""",1288,"""Most""",569,false,7
0,"""yellow""","""b18_y15""",1568,"""Many""",520,true,7
0,"""blue""","""b15_y18""",759,"""Most""",103,false,1
0,"""blue""","""b16_y18""",791,"""Fewer than half""",120,true,0
0,"""yellow""","""b8_y9""",1528,"""Few""",136,true,8
0,"""yellow""","""b27_y18""",680,"""More""",103,true,8
0,"""blue""","""b20_y10""",552,"""Few""",416,false,5
0,"""blue""","""b21_y24""",816,"""More""",111,true,1
0,"""blue""","""b24_y27""",592,"""More than half""",150,true,1
0,"""yellow""","""b24_y21""",1007,"""Most""",160,true,6
0,"""blue""","""b24_y18""",1167,"""More""",400,true,9
0,"""blue""","""b14_y16""",592,"""Fewer than half""",200,true,6
0,"""blue""","""b6_y5""",1105,"""Many""",383,false,9
0,"""blue""","""b18_y24""",681,"""Fewer than half""",112,true,8
0,"""yellow""","""b30_y15""",1080,"""Fewer than half""",312,true,7
0,"""blue""","""b18_y24""",679,"""Fewer than half""",352,true,9
0,"""yellow""","""b15_y18""",1000,"""Fewer than half""",503,true,7
0,"""blue""","""b8_y6""",1063,"""Many""",368,true,5
0,"""blue""","""b5_y10""",641,"""More than half""",311,true,8
0,"""blue""","""b27_y18""",865,"""Most""",120,true,3
0,"""blue""","""b16_y18""",1338,"""Many""",135,true,0
0,"""blue""","""b12_y16""",664,"""Many""",336,true,9
0,"""blue""","""b15_y30""",792,"""More than half""",95,true,1
0,"""blue""","""b18_y16""",1008,"""More than half""",408,false,5
0,"""yellow""","""b8_y6""",1161,"""Fewer than half""",192,false,7
0,"""yellow""","""b24_y20""",456,"""Many""",167,true,3
0,"""yellow""","""b14_y16""",880,"""More than half""",160,true,0
0,"""blue""","""b24_y20""",841,"""Most""",360,true,3
0,"""blue""","""b12_y16""",401,"""Fewer than half""",263,true,7
0,"""blue""","""b10_y5""",927,"""Fewer than half""",488,false,1
0,"""yellow""","""b15_y18""",521,"""Many""",312,true,2
0,"""blue""","""b16_y12""",1129,"""Few""",425,true,1
0,"""yellow""","""b27_y24""",265,"""Many""",199,true,2
0,"""blue""","""b5_y10""",953,"""More than half""",143,false,0
0,"""yellow""","""b21_y24""",1184,"""Fewer than half""",151,true,3
0,"""blue""","""b8_y7""",1375,"""Most""",297,true,6
0,"""blue""","""b24_y20""",808,"""Fewer than half""",191,false,4
0,"""blue""","""b21_y24""",785,"""More""",457,true,6
0,"""yellow""","""b27_y18""",1000,"""Fewer than half""",264,false,9
0,"""blue""","""b18_y16""",640,"""Fewer than half""",432,true,9
0,"""blue""","""b9_y6""",912,"""More""",344,false,2
0,"""yellow""","""b8_y7""",560,"""More""",392,true,9
0,"""yellow""","""b20_y10""",697,"""More than half""",207,false,0
0,"""blue""","""b24_y21""",520,"""More than half""",207,true,4
0,"""yellow""","""b18_y15""",992,"""Few""",567,true,0
0,"""blue""","""b6_y9""",817,"""Many""",528,false,7
0,"""blue""","""b10_y5""",1728,"""More than half""",438,true,7
0,"""yellow""","""b8_y9""",472,"""More""",273,true,0
0,"""yellow""","""b5_y6""",544,"""More than half""",448,false,3
0,"""blue""","""b21_y24""",280,"""Few""",344,true,2
0,"""yellow""","""b15_y18""",343,"""Most""",456,true,4
0,"""yellow""","""b9_y6""",840,"""More""",544,false,4
0,"""blue""","""b21_y24""",391,"""Many""",399,true,9
0,"""yellow""","""b12_y18""",416,"""More""",351,true,1
0,"""blue""","""b12_y16""",1208,"""Most""",312,true,7
0,"""yellow""","""b18_y16""",536,"""More than half""",264,true,1
0,"""yellow""","""b24_y20""",928,"""Few""",536,false,9
0,"""yellow""","""b8_y7""",656,"""More than half""",464,true,8
0,"""blue""","""b24_y20""",1080,"""More than half""",671,true,7
0,"""yellow""","""b18_y27""",1047,"""More""",183,false,8
0,"""yellow""","""b18_y27""",951,"""Few""",247,true,1
0,"""blue""","""b24_y20""",704,"""Few""",273,true,4
0,"""blue""","""b5_y6""",992,"""Few""",353,true,9
0,"""blue""","""b5_y6""",719,"""More""",144,false,4
0,"""blue""","""b8_y7""",1073,"""Few""",160,true,3
0,"""blue""","""b5_y6""",815,"""Many""",120,true,6
0,"""yellow""","""b15_y18""",327,"""More than half""",127,true,2
0,"""yellow""","""b30_y15""",727,"""Few""",135,true,0
0,"""yellow""","""b18_y27""",441,"""Many""",136,true,1
0,"""blue""","""b16_y18""",432,"""Many""",159,true,2
0,"""blue""","""b16_y14""",999,"""Fewer than half""",169,true,2
0,"""yellow""","""b24_y27""",536,"""Many""",136,false,1
0,"""yellow""","""b9_y8""",375,"""Many""",183,true,0
0,"""blue""","""b27_y18""",1224,"""More than half""",208,false,9
0,"""blue""","""b16_y18""",2008,"""Most""",631,true,4
0,"""yellow""","""b27_y24""",1264,"""Fewer than half""",175,true,0
0,"""yellow""","""b7_y8""",1632,"""More than half""",191,false,7
0,"""yellow""","""b5_y10""",368,"""More""",168,true,4
0,"""yellow""","""b30_y15""",1656,"""More than half""",160,false,4
0,"""blue""","""b7_y8""",912,"""More""",136,true,8
0,"""yellow""","""b18_y12""",336,"""Most""",273,false,5
0,"""blue""","""b8_y6""",1328,"""More""",168,true,3
0,"""yellow""","""b6_y9""",1024,"""More""",159,true,4
0,"""blue""","""b10_y20""",888,"""More""",168,true,9
0,"""blue""","""b30_y15""",975,"""Few""",119,true,7
0,"""yellow""","""b10_y20""",744,"""Fewer than half""",95,false,0
0,"""yellow""","""b24_y27""",752,"""More""",135,true,2
0,"""yellow""","""b8_y9""",848,"""More""",144,true,1
0,"""blue""","""b18_y16""",1065,"""Few""",111,true,7
0,"""yellow""","""b8_y7""",961,"""Most""",168,false,8
0,"""yellow""","""b24_y18""",640,"""More than half""",152,true,8
0,"""blue""","""b10_y20""",552,"""Most""",136,true,2
0,"""blue""","""b12_y16""",705,"""Fewer than half""",119,false,1
