date,workerid,amount
Mon Oct 22 21:36:47 CEST 2018,A28FMRMS9TMEOZ,4.0
Mon Oct 22 21:40:24 CEST 2018,A39GADIK8RLMVC,4.0
Mon Oct 22 21:43:33 CEST 2018,A125KW9P18V5Z1,4.0
Mon Oct 22 21:43:48 CEST 2018,A89R5XGMHOTJE,4.0
Mon Oct 22 21:46:39 CEST 2018,A2541C8MY0BYV3,4.0
Mon Oct 22 21:47:35 CEST 2018,A30UE6DWFNUCWX,4.0
Mon Oct 22 21:53:30 CEST 2018,A1NVJB5O4H7ZCJ,4.0
Mon Oct 22 21:53:54 CEST 2018,A272X64FOZFYLB,4.0
Mon Oct 22 21:58:27 CEST 2018,A2INXY39KBM92F,4.0
Mon Oct 22 22:01:33 CEST 2018,A326O3VWP8TO8N,4.0
Mon Oct 22 22:05:27 CEST 2018,A1IM6TFN3AAMBY,4.0
Mon Oct 22 22:34:57 CEST 2018,A2ONILC0LZKG6Y,4.0
Mon Oct 22 22:41:20 CEST 2018,A2RQMEPIHW5BOS,4.0
Mon Oct 22 22:51:43 CEST 2018,A3GEL5PWFIK05S,4.0
Tue Oct 23 00:42:11 CEST 2018,A188SHJZPHE8BA,4.0
,total paid to workers:,=SUM(c2:c16)
,40% paid to Amazon:,=.4*c17
,total:,=SUM(c17:c18
