workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""English""","""1""","""Female""","""27""","""Sometimes my brain and my fingers do different things. >:(""","""No""","""Yes""","""$4""","""2"""
1,"""english""","""2""","""Male""","""38""","""""","""No""","""Yes""","""5.00""","""2"""
2,"""English""","""1""","""Female""","""37""","""None.""","""No""","""Yes""","""6""","""2"""
3,"""English""","""2""","""Female""","""28""","""""","""No""","""Yes""","""4.00""","""1"""
4,"""English""","""2""","""Male""","""61""","""All fine, thank you.""","""No""","""Yes""","""4.00""","""3"""
5,"""english""","""2""","""Female""","""55""","""My eyes are a bit crossed at the moment :)""","""No""","""Yes""","""4.00""","""3"""
6,"""English""","""2""","""Female""","""35""","""""","""No""","""Yes""","""4.00""","""3"""
7,"""english""","""1""","""Male""","""29""","""""","""No""","""Yes""","""4""","""3"""
8,"""English""","""1""","""Female""","""70""","""I messed up some""","""No""","""Yes""","""yes""","""1"""
9,"""English""","""2""","""Female""","""32""","""No other comments""","""No""","""Yes""","""4.00""","""3"""
