workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""ENGLISH""","""1""","""Female""","""37""","""good""","""Yes""","""Yes""","""85""","""3"""
1,"""English""","""2""","""Male""","""24""","""""","""No""","""Yes""","""4""","""1"""
2,"""English""","""2""","""Female""","""54""","""""","""No""","""Yes""","""2.70""","""2"""
3,"""ENGLISH""","""2""","""Male""","""35""","""great""","""Yes""","""Yes""","""50""","""3"""
4,"""English""","""2""","""Male""","""37""","""No issues""","""No""","""Yes""","""4.00""","""1"""
5,"""English""","""2""","""Male""","""28""","""It was a bit difficult jarring switching between holding and pressing the K key but I eventually got the hang of it.""","""No""","""Yes""","""4""","""3"""
6,"""English""","""1""","""Male""","""40""","""Three or four of the screens didn&quotechart display an image.""","""No""","""Yes""","""4.00""","""3"""
7,"""english""","""2""","""Male""","""27""","""no issues, interesting hit""","""Yes""","""Yes""","""4.00""","""1"""
8,"""English""","""2""","""Female""","""37""","""Thank you for the opportunity to participate.""","""No""","""Yes""","""4.00""","""2"""
9,"""English""","""2""","""Female""","""34""","""For some reason I found it harder to hit the J key. So I messed a few up because it was like I accidentally auto-hit the L key.""","""No""","""Yes""","""This is a pretty fair price""","""2"""
10,"""english""","""1""","""Male""","""39""","""""","""No""","""Yes""","""3.00""","""2"""
11,"""english""","""1""","""Male""","""30""","""""","""No""","""Yes""","""i think good""","""3"""
12,"""English""","""2""","""Male""","""43""","""Thank you! This was challenging but very enjoyable.""","""No""","""Yes""","""4.00""","""3"""
13,"""english""","""1""","""Male""","""30""","""""","""No""","""Yes""","""good""","""3"""
14,"""english""","""2""","""Male""","""30""","""""","""Yes""","""Yes""","""4""","""3"""
15,"""English""","""1""","""Female""","""35""","""""","""No""","""No""","""4.00""","""3"""
16,"""English""","""1""","""Male""","""28""","""""","""No""","""Yes""","""5$""","""3"""
17,"""English""","""1""","""Male""","""36""","""""","""No""","""Yes""","""4.00""","""1"""
18,"""english""","""2""","""Male""","""22""","""""","""No""","""Yes""","""4.00""","""2"""
19,"""English""","""2""","""Male""","""28""","""No comments""","""No""","""Yes""","""4.00""","""2"""
20,"""English""","""1""","""Male""","""39""","""""","""No""","""Yes""","""5.00""","""1"""
21,"""English""","""1""","""Male""","""31""","""""","""Yes""","""Yes""","""3.00""","""3"""
22,"""english""","""1""","""Male""","""28""","""good""","""Yes""","""Yes""","""4""","""3"""
23,"""English""","""0""","""Female""","""33""","""""","""No""","""Yes""","""12""","""3"""
24,"""English""","""2""","""Male""","""30""","""Nice experiment.""","""Yes""","""Yes""","""Good""","""3"""
25,"""English""","""2""","""Male""","""29""","""It was a good task.""","""No""","""Yes""","""4""","""3"""
26,"""English""","""2""","""Female""","""24""","""""","""No""","""Yes""","""5.00""","""3"""
27,"""English""","""2""","""Male""","""35""","""Interesting.""","""Yes""","""Yes""","""4""","""4"""
28,"""English""","""2""","""Female""","""30""","""nice""","""Yes""","""Yes""","""4""","""3"""
29,"""ENGLISH""","""2""","""Female""","""30""","""VERY NICE THIS SURVEY.""","""Yes""","""Yes""","""4""","""4"""
30,"""English""","""2""","""Female""","""35""","""very interesting experiment.""","""Yes""","""Yes""","""4""","""4"""
31,"""english""","""1""","""Male""","""30""","""""","""Yes""","""Yes""","""good""","""3"""
32,"""english""","""2""","""Female""","""36""","""""","""No""","""Yes""","""5.00""","""3"""
33,"""English""","""1""","""Male""","""33""","""None.""","""No""","""Yes""","""4.00""","""2"""
34,"""ENGLISH""","""2""","""Male""","""26""","""LOVED IT""","""No""","""Yes""","""4""","""3"""
35,"""english""","""1""","""Male""","""30""","""hurts my eyes,""","""No""","""Yes""","""6""","""3"""
36,"""English""","""2""","""Male""","""28""","""""","""No""","""Yes""","""I think the pay should be a little more thanks!""","""1"""
37,"""english""","""2""","""Male""","""28""","""GOOD""","""Yes""","""Yes""","""4.00""","""2"""
38,"""English ""","""2""","""Male""","""34""","""Good Survey""","""No""","""Yes""","""Yes""","""3"""
39,"""English""","""2""","""Male""","""28""","""good""","""No""","""Yes""","""4.00""","""3"""
40,"""ENGLISH""","""2""","""Male""","""31""","""Nice experiment""","""Yes""","""Yes""","""YES""","""3"""
41,"""English""","""0""","""Female""","""33""","""fairly difficult task""","""No""","""Yes""","""15""","""3"""
42,"""english""","""0""","""Male""","""28""","""good""","""Yes""","""Yes""","""4""","""2"""
43,"""English""","""2""","""Male""","""28""","""good""","""No""","""Yes""","""4.00""","""3"""
44,"""English""","""1""","""Male""","""40""","""Thank you.""","""No""","""Yes""","""5""","""4"""
45,"""English""","""1""","""Male""","""51""","""I had trouble getting it to work initially. I wrote an email as such ""","""No""","""Yes""","""4""","""2"""
46,"""English""","""1""","""Male""","""32""","""""","""No""","""Yes""","""5""","""3"""
47,"""English""","""1""","""Male""","""40""","""""","""No""","""No""","""3.00""","""2"""
48,"""English""","""1""","""Female""","""36""","""""","""No""","""Yes""","""4.00""","""1"""
49,"""English""","""2""","""Male""","""28""","""good/""","""Yes""","""Yes""","""4""","""3"""
50,"""English""","""2""","""Male""","""28""","""good""","""Yes""","""Yes""","""4""","""3"""
51,"""English""","""2""","""Male""","""29""","""No""","""Yes""","""Yes""","""4""","""4"""
52,"""English""","""0""","""Male""","""31""","""Too long and repetitive for the pay.""","""No""","""Yes""","""nope, underpaid""","""2"""
53,"""englishj""","""2""","""Male""","""28""","""good""","""Yes""","""Yes""","""4""","""3"""
54,"""English""","""2""","""Female""","""35""","""nice""","""Yes""","""Yes""","""4""","""3"""
55,"""English""","""2""","""Male""","""23""","""""","""No""","""Yes""","""4.00""","""2"""
56,"""english""","""1""","""Female""","""42""","""""","""No""","""Yes""","""""","""3"""
57,"""ENGLISH""","""2""","""Male""","""35""","""GOOD""","""Yes""","""Yes""","""4""","""3"""
58,"""English""","""2""","""Male""","""35""","""nice""","""Yes""","""Yes""","""4""","""3"""
59,"""ENGLISH""","""2""","""Female""","""35""","""good""","""Yes""","""Yes""","""4""","""3"""
60,"""English""","""2""","""Male""","""27""","""Thanks!""","""No""","""Yes""","""5.00""","""3"""
61,"""english""","""2""","""Female""","""33""","""""","""No""","""Yes""","""$4""","""1"""
62,"""Englsih""","""2""","""Male""","""35""","""""","""Yes""","""Yes""","""4.00""","""2"""
63,"""English""","""2""","""Female""","""26""","""Interesting survey""","""Yes""","""No""","""4""","""2"""
64,"""English""","""2""","""Male""","""31""","""Everything was clear and there were no tech issues so far.""","""Yes""","""Yes""","""4""","""3"""
65,"""English""","""2""","""Female""","""26""","""Thank for such a well paying hit. It does get a little taxing on the eyes (possibly because of color choice) but otherwise it was very enjoyable for this type of work. I hope the HIT provides value to your work.""","""No""","""Yes""","""4.50""","""2"""
66,"""English""","""1""","""Male""","""40""","""Thank you for allowing me to participate in your research!""","""No""","""Yes""","""4.00""","""4"""
67,"""English""","""2""","""Male""","""31""","""""","""No""","""Yes""","""4""","""2"""
68,"""English""","""1""","""Female""","""61""","""""","""No""","""Yes""","""yes""","""2"""
69,"""English""","""2""","""Male""","""36""","""I think I had a few \""miscommunications\"" between my brain and my fingers, but otherwise I thought it was pretty engaging and interesting.""","""No""","""Yes""","""4.00""","""1"""
70,"""English""","""2""","""Male""","""26""","""""","""No""","""Yes""","""4""","""2"""
71,"""english""","""1""","""Male""","""60""","""""","""No""","""Yes""","""4""","""1"""
72,"""English""","""1""","""Female""","""37""","""""","""No""","""Yes""","""4.00""","""2"""
73,"""English""","""2""","""Male""","""27""","""""","""No""","""Yes""","""5.00""","""3"""
74,"""English""","""2""","""Male""","""35""","""Nice and interesting.""","""No""","""Yes""","""4""","""3"""
