workerid,OS,screenH,screenW,Browser
0,"""Windows""",768,1364,"""Chrome"""
1,"""Windows""",1080,1920,"""Chrome"""
2,"""Windows""",768,1360,"""Chrome"""
3,"""Windows""",768,1364,"""Chrome"""
4,"""Windows""",1080,1920,"""Chrome"""
5,"""Windows""",864,1536,"""Chrome"""
6,"""Windows""",768,1366,"""Firefox"""
7,"""Windows""",1080,1920,"""Chrome"""
8,"""Windows""",1080,1920,"""Chrome"""
9,"""Windows""",1080,1920,"""Firefox"""
10,"""Windows""",1080,1920,"""Chrome"""
11,"""Windows""",900,1600,"""Chrome"""
12,"""Mac""",1050,1680,"""Chrome"""
13,"""Windows""",768,1366,"""Chrome"""
14,"""Windows""",768,1366,"""Chrome"""
15,"""Windows""",864,1536,"""Chrome"""
16,"""Windows""",768,1366,"""Chrome"""
17,"""Windows""",1080,1920,"""Firefox"""
18,"""Windows""",1080,1920,"""Chrome"""
19,"""Windows""",768,1366,"""Chrome"""
20,"""Mac""",1080,1920,"""Chrome"""
21,"""Mac""",800,1280,"""Firefox"""
22,"""Windows""",1024,1280,"""Chrome"""
23,"""Windows""",720,1280,"""Chrome"""
24,"""Windows""",800,1280,"""Chrome"""
25,"""Windows""",800,1280,"""Chrome"""
26,"""Windows""",768,1366,"""Chrome"""
27,"""Windows""",768,1366,"""Chrome"""
28,"""Windows""",768,1366,"""Chrome"""
29,"""Windows""",768,1366,"""Chrome"""
30,"""Windows""",768,1366,"""Chrome"""
31,"""Windows""",768,1366,"""Chrome"""
32,"""Windows""",768,1366,"""Chrome"""
33,"""Windows""",768,1366,"""Chrome"""
34,"""Windows""",768,1366,"""Chrome"""
35,"""Windows""",1080,1920,"""Chrome"""
36,"""Windows""",1440,2560,"""Chrome"""
37,"""Windows""",768,1366,"""Chrome"""
38,"""Windows""",768,1366,"""Chrome"""
39,"""Windows""",900,1600,"""Chrome"""
40,"""Windows""",768,1366,"""Chrome"""
41,"""Windows""",720,1280,"""Chrome"""
42,"""Windows""",768,1366,"""Chrome"""
43,"""Windows""",1024,1280,"""Chrome"""
44,"""Linux""",960,455,"""Chrome"""
45,"""Windows""",768,1024,"""Firefox"""
46,"""Windows""",864,1536,"""Chrome"""
47,"""Windows""",1200,1920,"""Chrome"""
48,"""Windows""",1050,1680,"""Chrome"""
49,"""Windows""",1024,1280,"""Chrome"""
50,"""Windows""",768,1366,"""Chrome"""
51,"""Windows""",768,1366,"""Chrome"""
52,"""Windows""",1080,1920,"""Chrome"""
53,"""Windows""",768,1366,"""Chrome"""
54,"""Windows""",768,1366,"""Chrome"""
55,"""Windows""",1080,1920,"""Chrome"""
56,"""Windows""",1080,1920,"""Chrome"""
57,"""Windows""",800,1280,"""Chrome"""
58,"""Windows""",768,1366,"""Chrome"""
59,"""Windows""",768,1366,"""Chrome"""
60,"""Windows""",864,1536,"""Chrome"""
61,"""Windows""",768,1366,"""Firefox"""
62,"""Windows""",1080,1920,"""Chrome"""
63,"""Windows""",1080,1920,"""Chrome"""
64,"""Windows""",1024,1280,"""Firefox"""
65,"""Windows""",615,1093,"""Chrome"""
66,"""Windows""",800,1280,"""Chrome"""
67,"""Windows""",768,1366,"""Chrome"""
68,"""Windows""",900,1600,"""Chrome"""
69,"""Windows""",1080,1920,"""Chrome"""
70,"""Windows""",864,1536,"""Chrome"""
71,"""Windows""",1350,2400,"""Firefox"""
72,"""Windows""",1024,1280,"""Chrome"""
73,"""Windows""",1440,2560,"""Chrome"""
74,"""Windows""",768,1366,"""Chrome"""
