date,workerid,amount
Thu Sep 27 11:23:27 CEST 2018,A2ADEPVGNNXNPA,4.0
Thu Sep 27 11:23:37 CEST 2018,A1EITLFAMKA61U,4.0
Thu Sep 27 11:30:18 CEST 2018,A2F2DDH12YU4AK,4.0
Thu Sep 27 11:36:05 CEST 2018,A2YCMT5BPA0AG9,4.0
Thu Sep 27 11:40:49 CEST 2018,A3GPTSDDHJ2DBV,4.0
Thu Sep 27 11:44:58 CEST 2018,A319HGTKM0UY0V,4.0
Thu Sep 27 12:10:21 CEST 2018,AMTTB8JUWRRM7,4.0
Thu Sep 27 12:26:38 CEST 2018,AYW62R027PUT1,4.0
Thu Sep 27 12:30:50 CEST 2018,A2VR0KBCWPY8E1,4.0
Thu Sep 27 12:41:02 CEST 2018,A2YKW761AK4ZGY,4.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
