date,workerid,amount
Wed Oct 03 01:09:43 CEST 2018,A2EKR2ZFO10VMV,4.0
Wed Oct 03 01:11:16 CEST 2018,A25KM3PUOUZFN1,4.0
Wed Oct 03 01:18:42 CEST 2018,A5NE8TWS8ZV7B,4.0
Wed Oct 03 01:19:56 CEST 2018,AZ8JL3QNIPY4U,4.0
Wed Oct 03 01:25:55 CEST 2018,A3LT7W355XOAKF,4.0
Wed Oct 03 02:03:13 CEST 2018,A1NVJB5O4H7ZCJ,4.0
Wed Oct 03 02:07:29 CEST 2018,A1VC6F0FYG1L5I,4.0
Wed Oct 03 02:07:39 CEST 2018,A1VIP6S8H2XXH7,4.0
Wed Oct 03 02:44:35 CEST 2018,A35TWG9VW1MB5S,4.0
Wed Oct 03 02:57:01 CEST 2018,A3IYDY7TO808Z3,4.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
