date,workerid,amount
Tue May 21 09:36:21 CEST 2019,A1Y984VBNBN9Z1,4.0
Tue May 21 09:40:51 CEST 2019,ATUY1BTU5BQDE,4.0
Tue May 21 09:41:22 CEST 2019,A3HB980XHBF7RA,4.0
Tue May 21 09:42:23 CEST 2019,ASU22CACL123F,4.0
Tue May 21 09:42:35 CEST 2019,A26NGLGGFTATVN,4.0
Tue May 21 09:44:28 CEST 2019,A12HWPFXQPITHD,4.0
Tue May 21 09:45:51 CEST 2019,A3KKXA7COL5JHL,4.0
Tue May 21 09:49:02 CEST 2019,A2C73Y1COWCA51,4.0
Tue May 21 09:49:09 CEST 2019,A2658LN9LNAR1D,4.0
Tue May 21 09:49:15 CEST 2019,A3LA5P3N3KI8U7,4.0
Tue May 21 09:49:54 CEST 2019,A2GA29WTMFW2W,4.0
Tue May 21 09:50:10 CEST 2019,A368Z0P25NPI82,4.0
Tue May 21 09:50:26 CEST 2019,A1HKCTDOTL6C9I,4.0
Tue May 21 09:50:33 CEST 2019,A2Y7GPMP1H9N7G,4.0
Tue May 21 09:50:38 CEST 2019,A37L8J9FR8IH0B,4.0
Tue May 21 09:51:37 CEST 2019,A2G7DTL156PTKA,4.0
Tue May 21 09:52:18 CEST 2019,A3CSHNSBC9GJE5,4.0
Tue May 21 09:52:34 CEST 2019,A1NLJ1L4VCQYV2,4.0
Tue May 21 09:53:39 CEST 2019,A3QL8ZAD9BKWUF,4.0
Tue May 21 09:54:26 CEST 2019,A7T06JMP6BTDS,4.0
Tue May 21 09:54:27 CEST 2019,A150GMV1YQWWB3,4.0
Tue May 21 09:55:01 CEST 2019,A1I0DV4B4MFQCL,4.0
Tue May 21 09:55:05 CEST 2019,A19T9RCL1INUT8,4.0
Tue May 21 09:55:08 CEST 2019,A1AKX1C8GCVCTP,4.0
Tue May 21 09:55:13 CEST 2019,A2766O35JUD7LO,4.0
Tue May 21 09:55:47 CEST 2019,A3LJZZYJH97ZI4,4.0
Tue May 21 09:55:57 CEST 2019,A1DSBBRZR3LWXP,4.0
Tue May 21 09:56:07 CEST 2019,A2U467B41HZG02,4.0
Tue May 21 09:56:17 CEST 2019,ALNNQ7QK4A91C,4.0
Tue May 21 09:56:30 CEST 2019,A2VXAYXYKJTHQO,4.0
Tue May 21 09:57:08 CEST 2019,A1UPUN6FBQJP8Y,4.0
Tue May 21 09:57:09 CEST 2019,A2JZ79WO4PM0IJ,4.0
Tue May 21 09:57:21 CEST 2019,A1C7XI68SED8JE,4.0
Tue May 21 09:57:34 CEST 2019,A2RYP5HCVKX4A6,4.0
Tue May 21 09:58:57 CEST 2019,A3VLHYQMLNOUL7,4.0
Tue May 21 10:00:16 CEST 2019,A1Z8AOIDT5IV43,4.0
Tue May 21 10:01:05 CEST 2019,A10O5YR01H865K,4.0
Tue May 21 10:01:12 CEST 2019,A1PT6264PIYFCI,4.0
Tue May 21 10:01:40 CEST 2019,A37M75VC1DWAKV,4.0
Tue May 21 10:01:47 CEST 2019,A2ZEUYRYGNHQ2Z,4.0
Tue May 21 10:01:47 CEST 2019,A26PPHR171P4H4,4.0
Tue May 21 10:02:25 CEST 2019,A2ADEPVGNNXNPA,4.0
Tue May 21 10:02:56 CEST 2019,A2O5769QZUW7S,4.0
Tue May 21 10:03:01 CEST 2019,A298GPAEHRSV9J,4.0
Tue May 21 10:04:00 CEST 2019,A16ZYJOZVLCJEP,4.0
Tue May 21 10:04:44 CEST 2019,A1S6C6EN8MPKC3,4.0
Tue May 21 10:05:02 CEST 2019,AQORJW4W8U9YU,4.0
Tue May 21 10:05:51 CEST 2019,A2RY4MK1FONYH1,4.0
Tue May 21 10:07:06 CEST 2019,A1O67YS3DU0ZHX,4.0
Tue May 21 10:08:05 CEST 2019,A28XNX8DEB1YHC,4.0
Tue May 21 10:09:32 CEST 2019,A3BEZXV7X7EKI3,4.0
Tue May 21 10:10:07 CEST 2019,ANV75AMJKCE7,4.0
Tue May 21 10:11:12 CEST 2019,A19CB2C4GY4C60,4.0
Tue May 21 10:16:12 CEST 2019,A366ATVHNE2JTD,4.0
Tue May 21 10:16:22 CEST 2019,A3NVRTN7RC8D0I,4.0
Tue May 21 10:22:53 CEST 2019,A2CDM78GVCICO5,4.0
Tue May 21 10:25:07 CEST 2019,A2FUPODRRCESB,4.0
Tue May 21 10:27:10 CEST 2019,A2ON23OKSIU8VE,4.0
Tue May 21 10:28:07 CEST 2019,A338XEHF0WXH17,4.0
Tue May 21 10:28:58 CEST 2019,A2JZFLBUB0ODKJ,4.0
Tue May 21 10:29:38 CEST 2019,A2R0YYUAWNT7UD,4.0
Tue May 21 10:34:34 CEST 2019,A1MN2PWAV10VAB,4.0
Tue May 21 10:36:32 CEST 2019,A2F2DDH12YU4AK,4.0
Tue May 21 10:38:29 CEST 2019,A320BT7PLIQVZT,4.0
Tue May 21 10:38:29 CEST 2019,A2TLN8489YGY81,4.0
Tue May 21 10:38:56 CEST 2019,A2L5RS0Z20PK2D,4.0
Tue May 21 10:42:12 CEST 2019,A3LRZX8477TYYZ,4.0
Tue May 21 10:45:25 CEST 2019,A3RS7UCO7CQ74R,4.0
Tue May 21 10:48:32 CEST 2019,AKVDK30EEV08C,4.0
Tue May 21 11:28:31 CEST 2019,A34SUZWGLXIWM8,4.0
Tue May 21 11:36:02 CEST 2019,AFZ7Z5FOWM9VN,4.0
Tue May 21 11:42:00 CEST 2019,AJXIC6Q5EM76P,4.0
Tue May 21 11:46:20 CEST 2019,AJFVK3O1D7SPE,4.0
Tue May 21 11:49:39 CEST 2019,A29RRZYB15066A,4.0
Tue May 21 12:12:44 CEST 2019,AG5HAUJJV4OCY,4.0
,total paid to workers:,=SUM(c2:c76)
,40% paid to Amazon:,=.4*c77
,total:,=SUM(c77:c78
