date,workerid,amount
Tue May 22 12:32:00 CEST 2018,A2541C8MY0BYV3,3.0
Tue May 22 12:35:47 CEST 2018,A2YKW761AK4ZGY,3.0
Tue May 22 12:39:10 CEST 2018,AMTTB8JUWRRM7,3.0
Tue May 22 12:39:38 CEST 2018,A5EU1AQJNC7F2,3.0
Tue May 22 12:42:58 CEST 2018,A3GIIL73GE2CBQ,3.0
Tue May 22 12:49:37 CEST 2018,A1USR9JCAMDGM3,3.0
Tue May 22 12:50:37 CEST 2018,A27ZE20JZ3VDUP,3.0
Tue May 22 12:50:58 CEST 2018,A3VZJ2T28HAQ2A,3.0
Tue May 22 13:49:48 CEST 2018,AQSB97UW88SO2,3.0
Tue May 22 14:13:00 CEST 2018,AAASQIW3J32OL,3.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
